"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","243,000","237,000","244,000","236,500","165.61K","2.10%"
"Oct 31, 2019","238,000","237,500","240,500","235,000","225.78K","0.00%"
"Oct 30, 2019","238,000","239,000","240,000","237,000","180.39K","0.21%"
"Oct 29, 2019","237,500","237,500","239,500","236,500","165.24K","0.21%"
"Oct 28, 2019","237,000","238,000","240,000","236,500","266.04K","0.00%"
"Oct 25, 2019","237,000","240,000","240,000","236,500","217.08K","-1.66%"
"Oct 24, 2019","241,000","238,500","243,500","238,500","183.59K","0.42%"
"Oct 23, 2019","240,000","239,500","241,500","238,500","132.07K","-0.41%"
"Oct 22, 2019","241,000","236,500","242,500","236,500","176.62K","1.05%"
"Oct 21, 2019","238,500","241,500","241,500","235,500","130.33K","-1.04%"
"Oct 20, 2019","241,000","241,000","241,000","241,000","-","0.00%"
"Oct 18, 2019","241,000","243,500","243,500","238,500","148.07K","0.21%"
"Oct 17, 2019","240,500","245,000","245,000","239,000","156.35K","-1.43%"
"Oct 16, 2019","244,000","245,000","245,500","242,000","145.74K","-0.61%"
"Oct 15, 2019","245,500","242,000","246,500","241,500","200.93K","2.08%"
"Oct 14, 2019","240,500","247,500","247,500","239,500","188.98K","-1.43%"
"Oct 11, 2019","244,000","248,000","249,000","242,000","133.34K","-0.61%"
"Oct 10, 2019","245,500","243,500","248,000","237,500","318.40K","0.82%"
"Oct 09, 2019","243,500","243,500","243,500","243,500","-","0.00%"
"Oct 08, 2019","243,500","243,000","245,500","241,500","170.48K","-0.20%"
"Oct 07, 2019","244,000","241,500","245,500","241,000","120.83K","0.62%"
"Oct 04, 2019","242,500","243,000","245,500","239,000","206.79K","-1.22%"
"Oct 02, 2019","245,500","245,500","247,500","243,000","173.75K","-0.81%"
"Oct 01, 2019","247,500","251,500","252,000","247,000","192.33K","-1.79%"
"Sep 30, 2019","252,000","249,500","253,000","248,000","191.36K","1.20%"
"Sep 29, 2019","249,000","249,000","249,000","249,000","-","0.00%"
"Sep 27, 2019","249,000","252,000","252,000","246,000","130.74K","-0.20%"
"Sep 26, 2019","249,500","255,000","255,000","247,000","251.78K","-2.16%"
"Sep 25, 2019","255,000","254,500","257,500","253,000","280.64K","-1.73%"
"Sep 24, 2019","259,500","258,500","263,500","253,500","399.47K","3.18%"
"Sep 23, 2019","251,500","248,500","253,500","248,500","193.78K","1.21%"
"Sep 22, 2019","248,500","248,500","248,500","248,500","-","0.00%"
"Sep 20, 2019","248,500","246,500","249,000","245,000","213.42K","1.22%"
"Sep 19, 2019","245,500","247,500","247,500","244,000","145.35K","-1.60%"
"Sep 18, 2019","249,500","246,500","249,500","246,000","129.14K","0.60%"
"Sep 17, 2019","248,000","244,500","248,000","243,000","161.49K","1.43%"
"Sep 16, 2019","244,500","248,500","249,500","242,500","262.82K","-1.21%"
"Sep 15, 2019","247,500","247,500","247,500","247,500","-","0.00%"
"Sep 11, 2019","247,500","251,000","251,000","244,000","372.25K","-0.60%"
"Sep 10, 2019","249,000","249,500","251,000","247,500","168.81K","-0.80%"
"Sep 09, 2019","251,000","249,000","251,500","247,500","154.62K","0.80%"
"Sep 06, 2019","249,000","246,000","249,000","245,500","132.57K","1.01%"
