"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","101,000","100,000","101,500","99,200","211.32K","1.00%"
"Oct 31, 2019","100,000","98,200","101,500","98,200","575.08K","2.77%"
"Oct 30, 2019","97,300","99,800","100,000","97,300","447.36K","-1.22%"
"Oct 29, 2019","98,500","97,900","98,900","97,100","369.36K","1.13%"
"Oct 28, 2019","97,400","96,300","97,600","95,700","326.22K","1.99%"
"Oct 27, 2019","95,500","95,500","95,500","95,500","-","0.00%"
"Oct 25, 2019","95,500","94,800","96,100","94,000","304.09K","0.95%"
"Oct 24, 2019","94,600","94,700","95,700","93,300","304.72K","-0.42%"
"Oct 23, 2019","95,000","92,600","95,900","92,500","441.00K","2.37%"
"Oct 22, 2019","92,800","93,600","93,900","92,600","214.95K","-0.22%"
"Oct 21, 2019","93,000","92,600","93,500","92,000","139.85K","0.76%"
"Oct 20, 2019","92,300","92,300","92,300","92,300","-","0.00%"
"Oct 18, 2019","92,300","93,900","93,900","92,300","151.32K","-0.97%"
"Oct 17, 2019","93,200","92,800","94,200","92,300","342.62K","0.98%"
"Oct 16, 2019","92,300","91,900","92,400","91,100","224.05K","0.22%"
"Oct 15, 2019","92,100","91,900","92,700","91,300","161.10K","0.44%"
"Oct 14, 2019","91,700","91,600","92,400","91,200","207.71K","0.99%"
"Oct 11, 2019","90,800","89,700","91,000","89,500","273.24K","2.60%"
"Oct 10, 2019","88,500","89,000","89,700","88,000","452.51K","-1.45%"
"Oct 09, 2019","89,800","89,800","89,800","89,800","-","0.00%"
"Oct 08, 2019","89,800","89,000","89,900","88,600","195.65K","0.90%"
"Oct 07, 2019","89,000","88,100","89,600","87,900","171.10K","1.25%"
"Oct 06, 2019","87,900","87,900","87,900","87,900","-","0.00%"
"Oct 04, 2019","87,900","87,500","88,900","87,200","178.92K","0.00%"
"Oct 03, 2019","87,900","87,900","87,900","87,900","-","0.00%"
"Oct 02, 2019","87,900","89,300","89,900","87,900","200.69K","-2.44%"
"Oct 01, 2019","90,100","89,800","91,200","89,500","171.86K","0.45%"
"Sep 30, 2019","89,700","89,100","89,900","88,600","187.17K","0.90%"
"Sep 27, 2019","88,900","90,800","90,800","88,700","198.61K","-1.98%"
"Sep 26, 2019","90,700","91,000","91,500","90,100","171.67K","-0.22%"
"Sep 25, 2019","90,900","91,800","92,400","90,700","200.67K","-1.20%"
"Sep 24, 2019","92,000","91,000","92,000","90,600","144.19K","0.77%"
"Sep 23, 2019","91,300","92,500","92,500","90,800","188.55K","-0.98%"
"Sep 22, 2019","92,200","92,200","92,200","92,200","-","0.00%"
"Sep 20, 2019","92,200","91,100","92,500","90,700","320.85K","1.10%"
"Sep 19, 2019","91,200","91,000","92,800","90,800","330.88K","0.77%"
"Sep 18, 2019","90,500","91,500","91,700","90,400","179.60K","-1.09%"
"Sep 17, 2019","91,500","90,200","92,100","90,000","255.46K","0.99%"
"Sep 16, 2019","90,600","90,100","90,600","89,600","292.07K","2.03%"
"Sep 11, 2019","88,800","89,100","89,800","88,800","528.17K","0.00%"
"Sep 10, 2019","88,800","88,300","88,900","87,700","302.70K","1.72%"
"Sep 09, 2019","87,300","87,300","87,700","86,800","181.87K","0.00%"
"Sep 06, 2019","87,300","87,600","87,800","87,100","148.93K","0.11%"
"Sep 05, 2019","87,200","87,000","88,400","87,000","355.64K","0.11%"
"Sep 04, 2019","87,100","86,000","87,100","85,900","260.36K","1.04%"
"Sep 03, 2019","86,200","86,500","87,300","86,200","247.38K","-0.46%"
"Sep 02, 2019","86,600","86,400","87,000","85,800","260.72K","0.23%"
"Sep 01, 2019","86,400","86,400","86,400","86,400","-","0.00%"
"Aug 30, 2019","86,400","88,100","88,400","85,700","874.34K","-1.37%"
"Aug 29, 2019","87,600","91,700","93,500","85,700","1.11M","-4.05%"
"Aug 28, 2019","91,300","91,100","93,300","90,300","372.67K","0.88%"
"Aug 27, 2019","90,500","90,200","91,200","90,000","336.22K","0.44%"
"Aug 26, 2019","90,100","89,900","91,500","89,200","273.75K","-1.21%"
"Aug 23, 2019","91,200","88,800","91,800","88,700","310.51K","2.59%"
"Aug 22, 2019","88,900","90,500","90,500","88,900","180.36K","-1.77%"
"Aug 21, 2019","90,500","89,300","90,500","88,800","184.80K","1.12%"
"Aug 20, 2019","89,500","89,000","90,200","88,200","185.65K","0.00%"
"Aug 19, 2019","89,500","87,100","89,700","87,100","169.07K","2.76%"
"Aug 16, 2019","87,100","87,000","87,400","86,100","143.06K","-0.68%"
"Aug 15, 2019","87,700","87,700","87,700","87,700","-","0.00%"
"Aug 14, 2019","87,700","89,400","89,500","87,700","200.38K","-0.90%"
"Aug 13, 2019","88,500","88,000","89,100","87,500","215.44K","-0.56%"
"Aug 12, 2019","89,000","84,900","89,400","84,900","363.97K","4.22%"
"Aug 11, 2019","85,400","85,400","85,400","85,400","-","0.00%"
"Aug 09, 2019","85,400","85,100","86,500","85,100","215.07K","1.18%"
"Aug 08, 2019","84,400","85,200","85,700","84,400","423.35K","-0.12%"
"Aug 07, 2019","84,500","85,800","86,600","84,100","347.44K","-1.52%"
"Aug 06, 2019","85,800","85,400","87,200","85,000","504.64K","-2.05%"
"Aug 05, 2019","87,600","89,700","89,900","87,500","364.46K","-2.77%"
"Aug 02, 2019","90,100","90,700","91,300","89,300","323.31K","-1.85%"
"Aug 01, 2019","91,800","91,500","92,300","90,700","174.92K","0.11%"
"Jul 31, 2019","91,700","92,200","92,700","91,500","222.21K","-0.11%"
"Jul 30, 2019","91,800","92,300","92,800","91,700","136.96K","-0.54%"
"Jul 29, 2019","92,300","94,000","94,100","91,800","213.70K","-2.33%"
"Jul 26, 2019","94,500","91,900","95,200","91,800","286.78K","1.94%"
"Jul 25, 2019","92,700","94,600","94,600","92,000","252.76K","-2.22%"
"Jul 24, 2019","94,800","94,900","96,000","94,800","204.74K","-0.52%"
"Jul 23, 2019","95,300","93,300","95,800","93,200","256.52K","2.14%"
"Jul 22, 2019","93,300","93,400","95,200","93,200","162.05K","-0.11%"
"Jul 19, 2019","93,400","92,100","93,900","92,000","180.77K","1.41%"
"Jul 18, 2019","92,100","93,200","93,400","91,700","196.23K","-1.71%"
"Jul 17, 2019","93,700","94,000","94,000","93,200","119.66K","-0.74%"
"Jul 16, 2019","94,400","93,100","94,400","92,900","187.29K","1.40%"
"Jul 15, 2019","93,100","93,300","93,600","92,300","142.53K","-0.53%"
"Jul 14, 2019","93,600","93,600","93,600","93,600","-","0.00%"
"Jul 12, 2019","93,600","93,500","94,200","93,400","140.34K","0.32%"
"Jul 11, 2019","93,300","91,300","94,100","91,200","380.48K","2.19%"
"Jul 10, 2019","91,300","92,300","92,800","91,300","258.50K","-1.08%"
"Jul 09, 2019","92,300","92,900","93,400","92,100","188.39K","-0.75%"
"Jul 08, 2019","93,000","95,600","95,900","92,700","253.44K","-3.13%"
"Jul 05, 2019","96,000","94,800","96,000","94,500","138.70K","1.05%"
