"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","124,000","121,500","124,000","121,000","434.02K","1.64%"
"Oct 31, 2019","122,000","122,500","123,500","121,500","441.27K","-0.41%"
"Oct 30, 2019","122,500","122,500","123,000","121,500","398.68K","0.00%"
"Oct 29, 2019","122,500","122,000","123,000","121,500","546.89K","0.82%"
"Oct 28, 2019","121,500","124,500","125,000","121,500","563.67K","-1.62%"
"Oct 25, 2019","123,500","122,000","124,000","121,500","748.26K","1.23%"
"Oct 24, 2019","122,000","121,000","122,500","120,000","652.31K","0.83%"
"Oct 23, 2019","121,000","121,500","122,500","120,500","509.37K","-0.82%"
"Oct 22, 2019","122,000","121,500","122,500","120,000","522.73K","0.00%"
"Oct 21, 2019","122,000","124,000","124,000","122,000","371.22K","-0.81%"
"Oct 20, 2019","123,000","123,000","123,000","123,000","-","0.00%"
"Oct 18, 2019","123,000","123,500","124,500","122,500","416.54K","0.00%"
"Oct 17, 2019","123,000","123,000","124,500","122,000","509.08K","0.00%"
"Oct 16, 2019","123,000","123,000","124,000","122,000","407.27K","0.82%"
"Oct 15, 2019","122,000","122,000","123,000","120,500","657.67K","0.00%"
"Oct 14, 2019","122,000","125,000","126,000","122,000","1.26M","-3.17%"
"Oct 13, 2019","126,000","126,000","126,000","126,000","-","0.00%"
"Oct 11, 2019","126,000","127,000","127,500","126,000","364.18K","-0.40%"
"Oct 10, 2019","126,500","127,000","128,000","125,500","770.52K","-2.32%"
"Oct 09, 2019","129,500","129,500","129,500","129,500","-","0.00%"
"Oct 08, 2019","129,500","128,000","130,500","127,500","390.58K","1.17%"
"Oct 07, 2019","128,000","128,000","129,000","127,000","257.03K","1.19%"
"Oct 06, 2019","126,500","126,500","126,500","126,500","-","0.00%"
"Oct 04, 2019","126,500","129,500","130,000","126,500","488.21K","-1.56%"
"Oct 03, 2019","128,500","128,500","128,500","128,500","-","0.00%"
"Oct 02, 2019","128,500","131,000","131,500","128,000","447.29K","-3.02%"
"Oct 01, 2019","132,500","134,000","134,000","131,500","387.73K","-1.12%"
