"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","70,700","70,300","70,800","70,100","98.07K","0.14%"
"Oct 31, 2019","70,600","70,800","71,800","70,400","184.62K","-0.14%"
"Oct 30, 2019","70,700","72,200","73,000","70,600","234.94K","-2.08%"
"Oct 29, 2019","72,200","71,800","72,600","71,400","211.89K","1.83%"
"Oct 28, 2019","70,900","71,800","71,900","70,800","147.96K","-0.42%"
"Oct 25, 2019","71,200","70,400","71,300","70,200","150.52K","0.00%"
"Oct 24, 2019","71,200","70,600","71,300","70,100","143.62K","0.14%"
"Oct 23, 2019","71,100","70,500","71,700","70,400","147.76K","-0.97%"
"Oct 22, 2019","71,800","71,100","72,100","70,900","186.46K","1.70%"
"Oct 21, 2019","70,600","70,700","71,100","70,000","126.00K","0.71%"
"Oct 18, 2019","70,100","71,400","71,700","70,000","162.62K","-1.27%"
"Oct 17, 2019","71,000","70,100","71,100","69,800","255.53K","1.28%"
"Oct 16, 2019","70,100","70,200","71,700","69,500","283.55K","-0.57%"
"Oct 15, 2019","70,500","70,800","71,400","70,400","166.40K","-1.26%"
"Oct 14, 2019","71,400","70,900","72,200","70,900","166.25K","1.56%"
"Oct 11, 2019","70,300","69,100","70,900","69,100","198.88K","3.08%"
"Oct 10, 2019","68,200","69,000","69,900","68,100","317.41K","-2.43%"
"Oct 09, 2019","69,900","69,900","69,900","69,900","-","0.00%"
"Oct 08, 2019","69,900","69,900","70,500","69,200","189.50K","0.72%"
"Oct 07, 2019","69,400","69,200","70,300","69,000","93.21K","0.43%"
"Oct 06, 2019","69,100","69,100","69,100","69,100","-","0.00%"
"Oct 04, 2019","69,100","69,100","70,200","69,000","152.46K","-1.43%"
"Oct 02, 2019","70,100","70,700","71,500","69,900","155.01K","-2.50%"
"Oct 01, 2019","71,900","70,900","72,700","70,400","146.25K","1.13%"
"Sep 30, 2019","71,100","70,400","71,500","69,900","192.48K","0.71%"
"Sep 27, 2019","70,600","72,900","73,000","70,600","208.33K","-2.35%"
"Sep 26, 2019","72,300","73,100","73,200","71,700","210.12K","-1.09%"
