"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","309,000","308,000","309,000","305,000","86.35K","0.49%"
"Oct 31, 2019","307,500","308,000","310,500","305,500","236.75K","0.82%"
"Oct 30, 2019","305,000","302,500","306,000","299,000","196.49K","1.67%"
"Oct 29, 2019","300,000","304,000","304,500","300,000","141.46K","-0.66%"
"Oct 28, 2019","302,000","304,000","305,000","301,500","130.12K","0.17%"
"Oct 27, 2019","301,500","301,500","301,500","301,500","-","0.00%"
"Oct 25, 2019","301,500","306,000","307,500","299,500","252.48K","1.17%"
"Oct 24, 2019","298,000","303,500","305,000","296,500","238.03K","-0.50%"
"Oct 23, 2019","299,500","298,500","300,500","297,000","125.72K","0.34%"
"Oct 22, 2019","298,500","299,000","300,000","296,500","250.42K","0.00%"
"Oct 21, 2019","298,500","298,500","300,000","296,500","136.21K","1.02%"
"Oct 20, 2019","295,500","295,500","295,500","295,500","-","0.00%"
"Oct 18, 2019","295,500","301,500","305,000","295,500","263.20K","-2.80%"
"Oct 17, 2019","304,000","306,500","307,000","303,000","124.35K","0.33%"
"Oct 16, 2019","303,000","303,500","304,500","301,000","106.50K","0.00%"
"Oct 15, 2019","303,000","304,000","305,500","302,000","127.51K","-0.33%"
"Oct 14, 2019","304,000","305,000","306,500","302,000","146.10K","0.50%"
"Oct 13, 2019","302,500","302,500","302,500","302,500","-","0.00%"
"Oct 11, 2019","302,500","300,500","303,500","299,000","182.33K","1.85%"
"Oct 10, 2019","297,000","294,000","297,500","292,500","224.17K","0.51%"
"Oct 09, 2019","295,500","295,500","295,500","295,500","-","0.00%"
"Oct 08, 2019","295,500","290,000","296,500","289,500","205.15K","2.25%"
"Oct 07, 2019","289,000","294,500","297,000","286,500","284.67K","-2.36%"
"Oct 06, 2019","296,000","296,000","296,000","296,000","-","0.00%"
"Oct 04, 2019","296,000","297,500","302,000","296,000","166.88K","-0.17%"
"Oct 03, 2019","296,500","296,500","296,500","296,500","-","0.00%"
"Oct 02, 2019","296,500","303,500","303,500","296,500","233.34K","-2.63%"
"Oct 01, 2019","304,500","299,000","308,500","298,000","190.57K","1.67%"
"Sep 30, 2019","299,500","300,000","302,500","297,500","192.25K","-0.66%"
"Sep 29, 2019","301,500","301,500","301,500","301,500","-","0.00%"
"Sep 27, 2019","301,500","303,500","304,500","301,000","216.40K","-0.99%"
"Sep 26, 2019","304,500","306,500","307,500","303,500","238.81K","-0.16%"
"Sep 25, 2019","305,000","315,000","315,000","304,000","958.10K","-6.73%"
"Sep 24, 2019","327,000","322,500","327,000","322,500","127.62K","1.08%"
"Sep 23, 2019","323,500","328,500","328,500","323,000","174.19K","-1.67%"
"Sep 22, 2019","329,000","329,000","329,000","329,000","-","0.00%"
"Sep 20, 2019","329,000","327,500","329,000","326,000","156.74K","0.46%"
"Sep 19, 2019","327,500","325,000","328,500","324,500","108.50K","0.61%"
"Sep 18, 2019","325,500","328,000","328,500","324,500","100.23K","-0.61%"
"Sep 17, 2019","327,500","324,000","327,500","320,500","199.04K","0.92%"
"Sep 16, 2019","324,500","321,000","326,500","318,500","263.50K","0.15%"
"Sep 15, 2019","324,000","324,000","324,000","324,000","-","0.00%"
"Sep 11, 2019","324,000","322,000","327,000","321,500","244.46K","0.62%"
"Sep 10, 2019","322,000","325,500","328,000","320,000","138.90K","-0.92%"
"Sep 09, 2019","325,000","328,000","330,500","325,000","117.12K","-1.07%"
"Sep 08, 2019","328,500","328,500","328,500","328,500","-","0.00%"
"Sep 06, 2019","328,500","326,000","330,000","326,000","111.61K","1.08%"
"Sep 05, 2019","325,000","322,500","328,000","321,000","170.21K","1.09%"
"Sep 04, 2019","321,500","318,500","321,500","318,000","136.83K","-0.16%"
"Sep 03, 2019","322,000","321,500","323,500","320,000","97.93K","0.16%"
"Sep 02, 2019","321,500","322,000","324,000","315,500","226.89K","-2.72%"
"Aug 30, 2019","330,500","329,000","331,000","327,500","114.82K","1.69%"
"Aug 29, 2019","325,000","325,500","327,500","322,500","70.03K","0.31%"
"Aug 28, 2019","324,000","324,000","329,000","323,000","86.84K","0.31%"
"Aug 27, 2019","323,000","327,000","331,500","321,500","190.21K","-0.15%"
"Aug 26, 2019","323,500","329,500","332,500","322,500","177.59K","-1.82%"
"Aug 25, 2019","329,500","329,500","329,500","329,500","-","0.00%"
"Aug 23, 2019","329,500","316,000","332,500","316,000","176.59K","2.97%"
"Aug 22, 2019","320,000","327,500","332,000","320,000","165.89K","-2.44%"
"Aug 21, 2019","328,000","324,500","330,000","323,500","114.35K","1.23%"
"Aug 20, 2019","324,000","319,500","325,000","319,000","75.39K","0.93%"
"Aug 19, 2019","321,000","321,000","322,000","318,000","83.91K","0.31%"
"Aug 16, 2019","320,000","320,000","320,500","315,000","84.72K","-1.08%"
"Aug 15, 2019","323,500","323,500","323,500","323,500","-","0.00%"
"Aug 14, 2019","323,500","313,500","323,500","311,500","192.44K","4.69%"
"Aug 13, 2019","309,000","312,000","314,500","308,500","119.72K","-1.59%"
"Aug 12, 2019","314,000","315,500","317,000","313,000","82.32K","-0.95%"
"Aug 11, 2019","317,000","317,000","317,000","317,000","-","0.00%"
"Aug 09, 2019","317,000","321,000","322,500","317,000","86.42K","-0.31%"
"Aug 08, 2019","318,000","320,000","322,000","314,000","182.95K","0.79%"
"Aug 07, 2019","315,500","309,500","317,500","309,000","164.09K","1.77%"
"Aug 06, 2019","310,000","301,000","317,500","301,000","287.58K","-1.74%"
"Aug 05, 2019","315,500","328,000","330,000","315,500","234.25K","-4.83%"
"Aug 04, 2019","331,500","331,500","331,500","331,500","-","0.00%"
"Aug 02, 2019","331,500","325,000","333,000","325,000","151.10K","-0.30%"
"Aug 01, 2019","332,500","338,500","339,000","332,500","124.84K","-1.48%"
"Jul 31, 2019","337,500","330,000","342,000","330,000","185.23K","0.90%"
"Jul 30, 2019","334,500","328,000","336,000","328,000","94.94K","0.45%"
"Jul 29, 2019","333,000","333,500","333,500","325,000","167.94K","0.00%"
"Jul 28, 2019","333,000","333,000","333,000","333,000","-","0.00%"
"Jul 26, 2019","333,000","336,000","337,000","330,500","203.08K","-0.89%"
"Jul 25, 2019","336,000","345,500","346,000","335,000","458.39K","-4.95%"
"Jul 24, 2019","353,500","361,000","361,000","351,000","101.15K","-1.53%"
"Jul 23, 2019","359,000","357,500","361,500","357,000","87.70K","0.56%"
"Jul 22, 2019","357,000","360,000","360,000","355,500","80.04K","-1.24%"
"Jul 21, 2019","361,500","361,500","361,500","361,500","-","0.00%"
"Jul 19, 2019","361,500","358,500","361,500","355,000","158.69K","1.54%"
"Jul 18, 2019","356,000","353,000","359,500","352,500","145.98K","0.85%"
"Jul 17, 2019","353,000","355,000","356,500","349,500","142.25K","0.00%"
"Jul 16, 2019","353,000","346,000","353,000","346,000","139.58K","1.73%"
"Jul 15, 2019","347,000","344,000","348,000","342,500","95.83K","0.73%"
"Jul 12, 2019","344,500","341,500","347,000","341,500","122.03K","1.03%"
"Jul 11, 2019","341,000","341,500","344,000","340,000","138.95K","1.04%"
"Jul 10, 2019","337,500","339,000","344,000","337,000","131.40K","0.00%"
"Jul 09, 2019","337,500","344,500","349,000","337,000","193.80K","-2.17%"
"Jul 08, 2019","345,000","352,000","352,500","343,500","147.55K","-2.68%"
"Jul 05, 2019","354,500","361,000","361,000","352,000","99.91K","-1.12%"
"Jul 04, 2019","358,500","359,500","360,000","355,000","82.59K","0.84%"
"Jul 03, 2019","355,500","353,000","359,500","351,000","217.02K","2.01%"
"Jul 02, 2019","348,500","352,500","355,000","348,500","105.20K","-1.83%"
"Jul 01, 2019","355,000","360,000","360,000","353,000","113.18K","0.14%"
"Jun 28, 2019","354,500","350,000","356,000","348,000","163.49K","1.43%"
"Jun 27, 2019","349,500","346,000","350,000","343,000","172.69K","0.58%"
"Jun 26, 2019","347,500","350,500","350,500","346,500","100.32K","-1.28%"
"Jun 25, 2019","352,000","350,000","356,000","350,000","169.26K","1.00%"
"Jun 24, 2019","348,500","349,000","349,000","345,000","81.43K","0.14%"
"Jun 21, 2019","348,000","350,000","351,500","346,000","121.12K","-1.14%"
"Jun 20, 2019","352,000","349,500","352,000","347,500","118.65K","1.00%"
"Jun 19, 2019","348,500","349,500","350,500","346,000","100.84K","0.87%"
"Jun 18, 2019","345,500","348,000","349,000","342,500","187.76K","-0.86%"
"Jun 17, 2019","348,500","344,500","350,000","343,500","147.42K","1.16%"
"Jun 14, 2019","344,500","349,000","350,500","341,500","205.28K","-1.29%"
"Jun 13, 2019","349,000","345,000","349,000","339,500","335.84K","3.56%"
"Jun 12, 2019","337,000","341,500","342,000","335,000","141.45K","-1.17%"
"Jun 11, 2019","341,000","338,000","341,500","329,000","284.89K","1.19%"
"Jun 10, 2019","337,000","334,000","337,000","330,000","133.46K","1.97%"
"Jun 07, 2019","330,500","335,000","335,000","330,000","112.57K","-0.30%"
"Jun 05, 2019","331,500","341,000","341,500","331,500","158.67K","-1.78%"
"Jun 04, 2019","337,500","337,000","339,500","333,500","104.45K","0.15%"
"Jun 03, 2019","337,000","330,000","337,000","328,500","156.15K","1.20%"
"May 31, 2019","333,000","329,000","336,500","327,000","222.17K","1.68%"
"May 30, 2019","327,500","329,500","337,500","326,000","262.86K","1.39%"
"May 29, 2019","323,000","328,000","330,000","322,000","124.93K","-0.92%"
"May 28, 2019","326,000","326,000","330,500","322,500","288.18K","0.00%"
"May 27, 2019","326,000","324,000","329,000","322,000","114.93K","0.15%"
"May 24, 2019","325,500","323,000","326,500","319,000","173.67K","-0.46%"
"May 23, 2019","327,000","332,000","332,000","325,000","146.85K","-1.51%"
"May 22, 2019","332,000","331,000","334,000","329,500","93.21K","0.76%"
"May 21, 2019","329,500","328,500","333,500","328,000","151.84K","-0.15%"
"May 20, 2019","330,000","336,000","341,000","328,500","134.50K","-1.20%"
"May 17, 2019","334,000","339,000","344,000","333,500","132.22K","-0.45%"
"May 16, 2019","335,500","346,000","347,500","334,500","223.85K","-1.47%"
"May 15, 2019","340,500","332,500","342,500","330,500","226.11K","2.71%"
"May 14, 2019","331,500","328,500","335,000","328,000","220.14K","-0.45%"
"May 13, 2019","333,000","340,000","342,000","332,500","229.30K","-3.20%"
"May 10, 2019","344,000","341,000","349,500","339,000","243.14K","0.29%"
"May 09, 2019","343,000","355,500","356,500","343,000","298.34K","-3.65%"
"May 08, 2019","356,000","354,000","360,000","352,500","151.45K","-0.56%"
"May 07, 2019","358,000","358,000","360,000","355,000","181.51K","-1.78%"
"May 03, 2019","364,500","360,500","366,000","359,000","157.49K","1.53%"
"May 02, 2019","359,000","357,500","364,000","357,500","240.25K","-0.55%"
"Apr 30, 2019","361,000","366,000","368,000","356,500","247.66K","-1.10%"
"Apr 29, 2019","365,000","357,000","365,000","354,000","208.44K","1.81%"
"Apr 26, 2019","358,500","363,000","364,500","358,500","184.72K","-1.78%"
"Apr 25, 2019","365,000","357,500","365,500","356,500","264.26K","0.97%"
"Apr 24, 2019","361,500","371,500","371,500","359,500","373.62K","-2.56%"
"Apr 23, 2019","371,000","369,500","372,500","366,500","151.75K","0.13%"
"Apr 22, 2019","370,500","368,500","374,500","368,000","164.29K","1.09%"
"Apr 19, 2019","366,500","370,000","371,000","366,500","109.94K","-0.68%"
"Apr 18, 2019","369,000","369,500","373,000","367,000","262.75K","-0.54%"
"Apr 17, 2019","371,000","374,000","377,000","370,500","150.16K","-0.67%"
"Apr 16, 2019","373,500","373,500","377,000","371,000","144.19K","-0.13%"
"Apr 15, 2019","374,000","379,000","381,500","373,000","218.74K","-1.58%"
"Apr 12, 2019","380,000","387,000","387,000","379,500","206.23K","-2.19%"
"Apr 11, 2019","388,500","389,000","390,000","385,000","206.64K","-0.13%"
"Apr 10, 2019","389,000","387,000","389,000","381,500","171.69K","0.52%"
"Apr 09, 2019","387,000","387,000","390,000","380,500","159.29K","0.91%"
"Apr 08, 2019","383,500","377,000","387,000","377,000","246.87K","1.59%"
"Apr 05, 2019","377,500","377,000","379,000","374,000","111.41K","0.27%"
"Apr 04, 2019","376,500","378,000","380,000","373,500","117.45K","0.00%"
"Apr 03, 2019","376,500","366,500","377,000","365,500","182.73K","1.21%"
"Apr 02, 2019","372,000","372,500","375,000","369,500","124.57K","0.40%"
"Apr 01, 2019","370,500","367,000","376,000","366,500","170.85K","1.23%"
"Mar 29, 2019","366,000","365,000","366,000","359,000","141.88K","1.39%"
"Mar 28, 2019","361,000","361,000","364,500","359,000","153.95K","-0.41%"
"Mar 27, 2019","362,500","366,000","367,000","360,500","186.08K","-1.09%"
"Mar 26, 2019","366,500","367,500","369,000","364,000","126.12K","-0.14%"
"Mar 25, 2019","367,000","368,000","371,500","364,000","261.21K","-3.29%"
"Mar 22, 2019","379,500","380,000","383,500","376,000","168.10K","-0.65%"
"Mar 21, 2019","382,000","375,500","382,000","370,000","421.68K","5.23%"
"Mar 20, 2019","363,000","371,000","371,000","358,500","195.08K","-1.76%"
"Mar 19, 2019","369,500","369,000","370,000","365,500","101.64K","0.96%"
"Mar 18, 2019","366,000","375,000","375,000","364,500","143.20K","-1.21%"
"Mar 15, 2019","370,500","366,000","374,000","364,500","200.97K","0.14%"
"Mar 14, 2019","370,000","368,000","370,000","364,500","218.38K","1.93%"
"Mar 13, 2019","363,000","365,000","365,500","359,500","130.55K","-0.68%"
"Mar 12, 2019","365,500","364,500","369,500","362,500","134.47K","1.25%"
"Mar 11, 2019","361,000","364,500","365,500","358,000","176.05K","-0.96%"
"Mar 08, 2019","364,500","369,500","375,000","363,500","240.82K","-0.41%"
"Mar 07, 2019","366,000","373,500","375,500","364,500","215.47K","-1.88%"
"Mar 06, 2019","373,000","373,500","376,500","370,000","185.74K","-0.13%"
"Mar 05, 2019","373,500","384,500","385,000","371,500","300.78K","-3.49%"
"Mar 04, 2019","387,000","395,000","400,000","385,500","272.59K","-0.90%"
"Feb 28, 2019","390,500","391,000","393,500","387,000","232.02K","-0.38%"
"Feb 27, 2019","392,000","388,000","393,000","386,000","203.79K","1.55%"
"Feb 26, 2019","386,000","385,500","388,500","380,500","186.08K","0.13%"
"Feb 25, 2019","385,500","386,500","389,000","381,500","184.02K","0.52%"
"Feb 22, 2019","383,500","387,000","388,000","375,500","321.10K","-1.03%"
"Feb 21, 2019","387,500","391,000","392,500","386,500","194.63K","-1.77%"
