"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","101,500","100,000","102,000","99,800","129.44K","1.81%"
"Oct 31, 2019","99,700","101,500","102,000","99,700","240.85K","-1.77%"
"Oct 30, 2019","101,500","102,500","103,000","100,000","176.35K","-0.49%"
"Oct 29, 2019","102,000","104,500","105,500","101,500","192.81K","-1.92%"
"Oct 28, 2019","104,000","107,000","107,000","103,000","193.67K","-1.89%"
"Oct 25, 2019","106,000","105,500","107,000","105,000","260.48K","0.47%"
"Oct 24, 2019","105,500","102,000","105,500","101,500","580.96K","4.46%"
"Oct 23, 2019","101,000","99,900","101,500","99,200","218.40K","0.50%"
"Oct 22, 2019","100,500","98,000","100,500","97,000","245.47K","2.55%"
"Oct 21, 2019","98,000","99,200","99,400","97,800","125.72K","-1.11%"
"Oct 18, 2019","99,100","100,000","100,500","98,500","209.16K","-0.70%"
"Oct 17, 2019","99,800","99,500","100,500","99,200","155.41K","0.91%"
"Oct 16, 2019","98,900","99,200","100,500","98,000","331.10K","-0.20%"
"Oct 15, 2019","99,100","102,000","102,000","98,800","245.50K","-3.32%"
"Oct 14, 2019","102,500","103,000","103,500","102,500","127.16K","0.99%"
"Oct 13, 2019","101,500","101,500","101,500","101,500","-","0.00%"
"Oct 11, 2019","101,500","103,000","103,500","101,000","159.69K","0.00%"
"Oct 10, 2019","101,500","99,500","102,000","98,600","243.15K","1.00%"
"Oct 09, 2019","100,500","100,500","100,500","100,500","-","0.00%"
"Oct 08, 2019","100,500","100,000","102,000","99,700","155.59K","0.50%"
"Oct 07, 2019","100,000","98,600","101,000","98,600","229.89K","1.52%"
"Oct 06, 2019","98,500","98,500","98,500","98,500","-","0.00%"
"Oct 04, 2019","98,500","97,800","100,500","97,300","258.96K","0.72%"
"Oct 03, 2019","97,800","97,800","97,800","97,800","-","0.00%"
"Oct 02, 2019","97,800","98,200","100,500","97,700","167.30K","-1.11%"
"Oct 01, 2019","98,900","98,900","100,500","98,000","124.75K","-0.50%"
"Sep 30, 2019","99,400","99,000","101,000","98,400","207.50K","-0.60%"
"Sep 29, 2019","100,000","100,000","100,000","100,000","-","0.00%"
"Sep 27, 2019","100,000","101,500","101,500","100,000","161.47K","-0.50%"
"Sep 26, 2019","100,500","102,000","102,500","100,000","120.75K","-1.47%"
"Sep 25, 2019","102,000","102,500","103,000","101,500","143.15K","-0.97%"
"Sep 24, 2019","103,000","102,500","103,500","102,000","231.69K","0.49%"
"Sep 23, 2019","102,500","102,000","102,500","101,000","157.10K","0.49%"
"Sep 22, 2019","102,000","102,000","102,000","102,000","-","0.00%"
"Sep 20, 2019","102,000","99,000","102,500","99,000","243.20K","2.31%"
"Sep 19, 2019","99,700","99,400","99,700","98,200","192.94K","-0.30%"
"Sep 18, 2019","100,000","101,000","101,500","99,600","307.32K","-0.99%"
"Sep 17, 2019","101,000","103,500","104,000","100,500","331.16K","-0.98%"
"Sep 16, 2019","102,000","103,500","106,000","101,500","507.01K","2.31%"
"Sep 15, 2019","99,700","99,700","99,700","99,700","-","0.00%"
"Sep 11, 2019","99,700","98,000","100,500","97,900","565.78K","2.26%"
"Sep 10, 2019","97,500","97,900","98,700","97,100","185.08K","0.00%"
"Sep 09, 2019","97,500","96,200","97,900","95,200","206.61K","1.46%"
