"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","196,000","192,000","197,000","190,000","342.19K","2.08%"
"Oct 31, 2019","192,000","187,500","199,000","184,000","1.12M","4.35%"
"Oct 30, 2019","184,000","163,000","185,500","159,500","1.31M","14.29%"
"Oct 29, 2019","161,000","157,000","161,000","156,500","298.91K","3.54%"
"Oct 28, 2019","155,500","158,500","158,500","151,500","210.28K","-0.96%"
"Oct 25, 2019","157,000","158,500","159,500","156,500","118.93K","-0.95%"
"Oct 24, 2019","158,500","157,500","159,000","156,500","148.95K","0.00%"
"Oct 23, 2019","158,500","158,000","159,000","157,000","115.22K","0.32%"
"Oct 22, 2019","158,000","156,000","158,500","154,500","185.12K","3.27%"
"Oct 21, 2019","153,000","155,000","156,500","150,500","186.35K","-1.61%"
"Oct 20, 2019","155,500","155,500","155,500","155,500","-","0.00%"
"Oct 18, 2019","155,500","154,500","159,000","154,000","317.21K","1.63%"
"Oct 17, 2019","153,000","155,500","156,500","152,500","129.01K","-0.97%"
"Oct 16, 2019","154,500","151,000","155,000","150,000","197.53K","3.00%"
"Oct 15, 2019","150,000","151,000","152,000","150,000","169.68K","-1.64%"
"Oct 14, 2019","152,500","150,500","153,500","149,000","202.83K","2.01%"
"Oct 11, 2019","149,500","150,500","152,000","148,000","274.68K","3.10%"
"Oct 10, 2019","145,000","148,000","149,500","144,000","374.81K","-3.33%"
"Oct 08, 2019","150,000","147,500","153,000","146,000","341.41K","2.74%"
"Oct 07, 2019","146,000","147,500","148,500","145,000","185.44K","1.04%"
"Oct 06, 2019","144,500","144,500","144,500","144,500","-","0.00%"
"Oct 04, 2019","144,500","143,000","148,000","143,000","330.80K","0.35%"
"Oct 02, 2019","144,000","141,500","145,000","141,000","283.68K","0.35%"
"Oct 01, 2019","143,500","140,500","144,000","139,500","193.60K","2.14%"
"Sep 30, 2019","140,500","145,000","147,500","140,000","284.70K","-3.10%"
"Sep 29, 2019","145,000","145,000","145,000","145,000","-","0.00%"
