"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","396,000","397,500","398,500","390,500","82.60K","-0.63%"
"Oct 31, 2019","398,500","400,000","403,000","397,000","110.84K","0.38%"
"Oct 30, 2019","397,000","401,000","402,000","388,500","138.77K","-0.87%"
"Oct 29, 2019","400,500","397,500","402,000","390,000","215.41K","0.63%"
"Oct 28, 2019","398,000","387,500","398,000","386,500","202.03K","3.78%"
"Oct 27, 2019","383,500","383,500","383,500","383,500","-","0.00%"
"Oct 25, 2019","383,500","379,000","387,500","376,000","168.27K","1.46%"
"Oct 24, 2019","378,000","378,000","380,000","368,000","220.09K","1.48%"
"Oct 23, 2019","372,500","377,000","380,500","365,000","562.62K","8.28%"
"Oct 22, 2019","344,000","341,000","349,500","341,000","90.20K","1.33%"
"Oct 21, 2019","339,500","343,500","344,000","338,500","51.10K","-1.31%"
"Oct 20, 2019","344,000","344,000","344,000","344,000","-","0.00%"
"Oct 18, 2019","344,000","345,000","349,500","342,000","63.59K","-0.29%"
"Oct 17, 2019","345,000","343,000","352,000","342,000","220.58K","1.77%"
"Oct 16, 2019","339,000","327,500","339,000","327,000","169.60K","3.99%"
"Oct 15, 2019","326,000","329,000","329,500","325,500","32.64K","-1.06%"
"Oct 14, 2019","329,500","327,500","330,000","324,500","82.76K","1.38%"
"Oct 13, 2019","325,000","325,000","325,000","325,000","-","0.00%"
"Oct 11, 2019","325,000","329,000","329,000","324,000","57.24K","-0.31%"
"Oct 10, 2019","326,000","326,000","329,000","321,500","65.83K","-0.91%"
"Oct 09, 2019","329,000","329,000","329,000","329,000","-","0.00%"
"Oct 08, 2019","329,000","326,000","330,000","321,500","106.46K","0.92%"
"Oct 07, 2019","326,000","324,000","328,000","322,000","70.37K","1.72%"
"Oct 04, 2019","320,500","320,500","325,000","319,000","78.37K","0.79%"
"Oct 03, 2019","318,000","318,000","318,000","318,000","-","0.00%"
"Oct 02, 2019","318,000","317,500","323,500","313,500","82.01K","-1.55%"
"Oct 01, 2019","323,000","308,000","323,000","305,000","104.20K","5.04%"
"Sep 30, 2019","307,500","309,500","313,000","301,000","86.50K","-1.28%"
"Sep 29, 2019","311,500","311,500","311,500","311,500","-","0.00%"
"Sep 27, 2019","311,500","320,000","320,000","311,000","75.85K","-1.89%"
"Sep 26, 2019","317,500","318,000","324,500","316,500","72.89K","-0.16%"
"Sep 25, 2019","318,000","318,500","324,000","317,000","84.17K","-0.16%"
"Sep 24, 2019","318,500","314,000","330,000","311,000","212.44K","0.47%"
"Sep 23, 2019","317,000","338,000","338,000","314,000","283.55K","-6.35%"
"Sep 22, 2019","338,500","338,500","338,500","338,500","-","0.00%"
"Sep 20, 2019","338,500","331,000","342,000","331,000","235.05K","2.89%"
"Sep 19, 2019","329,000","316,000","335,000","316,000","273.35K","4.11%"
"Sep 18, 2019","316,000","317,500","322,500","313,000","146.15K","0.32%"
"Sep 17, 2019","315,000","299,000","316,500","298,500","342.28K","7.33%"
"Sep 16, 2019","293,500","294,500","296,500","288,500","81.32K","0.17%"
"Sep 15, 2019","293,000","293,000","293,000","293,000","-","0.00%"
"Sep 11, 2019","293,000","285,500","293,000","283,500","150.52K","3.35%"
"Sep 10, 2019","283,500","290,000","290,000","280,500","113.04K","1.25%"
"Sep 09, 2019","280,000","277,500","282,500","277,500","52.00K","0.90%"
"Sep 06, 2019","277,500","280,000","281,500","276,000","63.75K","-0.72%"
"Sep 05, 2019","279,500","280,000","282,500","278,000","81.90K","0.54%"
"Sep 04, 2019","278,000","270,000","278,000","269,000","117.87K","2.21%"
"Sep 03, 2019","272,000","267,000","273,000","266,000","92.99K","1.87%"
"Sep 02, 2019","267,000","267,500","267,500","261,000","131.85K","-0.74%"
"Sep 01, 2019","269,000","269,000","269,000","269,000","-","0.00%"
"Aug 30, 2019","269,000","274,500","281,000","267,000","314.07K","-1.28%"
"Aug 29, 2019","272,500","290,000","304,000","261,500","793.82K","-4.89%"
"Aug 28, 2019","286,500","275,500","288,000","274,500","214.16K","3.80%"
"Aug 27, 2019","276,000","274,500","278,000","271,500","96.53K","1.66%"
"Aug 26, 2019","271,500","278,500","281,000","270,000","91.73K","-4.23%"
"Aug 25, 2019","283,500","283,500","283,500","283,500","-","0.00%"
"Aug 23, 2019","283,500","278,000","286,000","278,000","100.33K","0.71%"
"Aug 22, 2019","281,500","285,000","285,500","280,000","58.17K","-0.71%"
"Aug 21, 2019","283,500","283,500","288,000","282,000","53.14K","0.00%"
"Aug 20, 2019","283,500","284,500","286,500","278,000","74.51K","0.00%"
"Aug 19, 2019","283,500","290,000","291,500","282,000","65.13K","-1.39%"
"Aug 18, 2019","287,500","287,500","287,500","287,500","-","0.00%"
"Aug 16, 2019","287,500","286,000","291,500","285,000","97.96K","-0.86%"
"Aug 14, 2019","290,000","291,000","295,500","287,000","118.36K","1.58%"
"Aug 13, 2019","285,500","285,000","300,000","284,000","283.17K","-1.21%"
"Aug 12, 2019","289,000","271,500","293,000","271,500","239.61K","7.24%"
"Aug 09, 2019","269,500","251,500","274,500","251,500","220.51K","8.02%"
"Aug 08, 2019","249,500","253,000","253,000","245,500","169.17K","0.00%"
"Aug 07, 2019","249,500","254,500","260,000","249,000","145.74K","-1.38%"
"Aug 06, 2019","253,000","250,500","264,000","241,500","228.14K","-2.13%"
"Aug 05, 2019","258,500","274,000","276,000","258,000","245.82K","-7.18%"
"Aug 02, 2019","278,500","274,000","280,000","270,500","83.20K","0.18%"
"Aug 01, 2019","278,000","279,500","281,500","277,000","53.20K","-0.71%"
"Jul 31, 2019","280,000","278,500","280,000","270,000","105.95K","1.27%"
"Jul 30, 2019","276,500","272,500","282,000","272,500","82.69K","1.28%"
"Jul 29, 2019","273,000","273,000","278,000","271,000","82.68K","-0.91%"
"Jul 28, 2019","275,500","275,500","275,500","275,500","-","0.00%"
"Jul 26, 2019","275,500","267,000","277,000","266,000","135.43K","1.85%"
"Jul 25, 2019","270,500","280,000","280,500","270,000","180.21K","-3.74%"
"Jul 24, 2019","281,000","288,500","288,500","281,000","211.06K","-2.77%"
"Jul 23, 2019","289,000","290,000","292,000","288,500","63.36K","-0.34%"
"Jul 22, 2019","290,000","298,000","298,500","288,500","128.37K","0.87%"
"Jul 21, 2019","287,500","287,500","287,500","287,500","-","0.00%"
"Jul 19, 2019","287,500","285,500","288,500","284,500","136.46K","0.52%"
"Jul 18, 2019","286,000","286,500","289,500","284,500","80.20K","-0.35%"
"Jul 17, 2019","287,000","292,500","293,000","284,500","175.28K","-2.88%"
"Jul 16, 2019","295,500","295,000","299,000","294,000","58.51K","-0.34%"
"Jul 15, 2019","296,500","301,000","302,000","296,500","52.67K","-1.66%"
"Jul 12, 2019","301,500","301,000","301,500","297,000","50.49K","0.00%"
"Jul 11, 2019","301,500","299,000","303,000","298,000","68.21K","0.67%"
"Jul 10, 2019","299,500","304,000","304,000","296,000","111.98K","-1.32%"
"Jul 09, 2019","303,500","317,500","319,500","301,500","98.20K","-4.11%"
"Jul 08, 2019","316,500","314,000","320,000","309,500","68.53K","0.80%"
