"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","42,300","41,750","42,400","41,750","536.79K","0.83%"
"Oct 31, 2019","41,950","42,100","42,400","41,950","802.05K","-1.18%"
"Oct 30, 2019","42,450","42,600","42,950","42,300","708.65K","-0.35%"
"Oct 29, 2019","42,600","42,550","43,250","42,450","842.07K","-0.70%"
"Oct 28, 2019","42,900","42,900","43,150","42,750","780.94K","0.23%"
"Oct 25, 2019","42,800","42,650","43,600","42,650","1.04M","-2.73%"
"Oct 24, 2019","44,000","43,950","44,300","43,500","657.60K","0.23%"
"Oct 23, 2019","43,900","43,850","44,050","43,500","681.09K","-0.45%"
"Oct 22, 2019","44,100","43,150","44,100","43,150","920.71K","2.20%"
"Oct 21, 2019","43,150","42,900","43,600","42,850","669.65K","0.70%"
"Oct 18, 2019","42,850","43,250","43,350","42,650","702.97K","-0.12%"
"Oct 17, 2019","42,900","42,700","43,150","42,450","628.27K","0.47%"
"Oct 16, 2019","42,700","43,400","43,700","42,400","1.08M","0.00%"
"Oct 15, 2019","42,700","42,900","43,000","42,550","763.12K","-0.23%"
"Oct 14, 2019","42,800","42,800","43,250","42,650","926.24K","2.03%"
"Oct 11, 2019","41,950","41,700","42,250","41,550","945.69K","2.69%"
"Oct 10, 2019","40,850","41,200","41,650","40,750","1.34M","-2.04%"
"Oct 08, 2019","41,700","42,050","42,300","41,600","795.78K","1.09%"
"Oct 07, 2019","41,250","41,650","41,750","41,050","707.50K","-0.96%"
"Oct 04, 2019","41,650","41,950","42,250","41,650","750.10K","-0.48%"
"Oct 02, 2019","41,850","42,500","42,500","41,550","903.45K","-1.53%"
"Oct 01, 2019","42,500","43,250","43,300","42,450","742.19K","-0.47%"
"Sep 30, 2019","42,700","42,500","42,850","42,250","815.76K","0.71%"
"Sep 29, 2019","42,400","42,400","42,400","42,400","-","0.00%"
"Sep 27, 2019","42,400","44,100","44,150","42,150","1.12M","-3.53%"
"Sep 26, 2019","43,950","43,700","44,100","43,400","759.56K","1.03%"
"Sep 25, 2019","43,500","43,200","44,100","43,200","1.08M","-1.14%"
"Sep 24, 2019","44,000","44,000","44,300","43,550","880.76K","0.46%"
"Sep 23, 2019","43,800","44,150","44,150","43,450","629.65K","-0.90%"
"Sep 20, 2019","44,200","43,150","44,200","42,700","1.23M","3.03%"
"Sep 19, 2019","42,900","43,350","43,900","42,700","957.32K","-0.81%"
"Sep 18, 2019","43,250","43,250","44,100","43,100","849.19K","-1.93%"
"Sep 17, 2019","44,100","44,300","44,400","43,800","1.04M","-1.23%"
"Sep 16, 2019","44,650","43,700","44,900","43,700","1.14M","2.17%"
"Sep 15, 2019","43,700","43,700","43,700","43,700","-","0.00%"
"Sep 11, 2019","43,700","43,400","43,950","42,800","2.08M","2.82%"
"Sep 10, 2019","42,500","41,200","42,750","41,150","1.45M","3.28%"
"Sep 09, 2019","41,150","40,500","41,450","40,500","759.66K","1.48%"
