"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","67,200","66,800","67,400","66,100","403.58K","0.45%"
"Oct 31, 2019","66,900","68,800","69,600","66,600","1.09M","-2.34%"
"Oct 30, 2019","68,500","69,300","69,600","68,200","327.33K","-0.72%"
"Oct 29, 2019","69,000","69,400","69,600","68,800","307.13K","0.29%"
"Oct 28, 2019","68,800","68,700","69,200","68,400","204.12K","0.88%"
"Oct 25, 2019","68,200","68,600","69,100","67,600","414.63K","-1.16%"
"Oct 24, 2019","69,000","68,800","69,200","68,000","326.90K","0.58%"
"Oct 23, 2019","68,600","69,200","69,400","68,400","289.81K","-1.15%"
"Oct 22, 2019","69,400","69,100","69,700","69,100","283.06K","0.43%"
"Oct 21, 2019","69,100","69,300","69,400","68,700","207.88K","0.44%"
"Oct 20, 2019","68,800","68,800","68,800","68,800","-","0.00%"
"Oct 18, 2019","68,800","68,600","69,500","68,400","292.75K","0.00%"
"Oct 17, 2019","68,800","70,300","70,300","68,300","540.96K","-2.13%"
"Oct 16, 2019","70,300","70,000","70,300","69,700","391.87K","1.15%"
"Oct 15, 2019","69,500","68,900","69,600","68,800","442.31K","0.87%"
"Oct 14, 2019","68,900","69,600","70,100","68,800","359.16K","0.15%"
"Oct 13, 2019","68,800","68,800","68,800","68,800","-","0.00%"
"Oct 11, 2019","68,800","69,100","69,500","68,700","373.39K","0.73%"
"Oct 10, 2019","68,300","67,900","69,000","67,800","806.62K","0.00%"
"Oct 09, 2019","68,300","68,300","68,300","68,300","-","0.00%"
"Oct 08, 2019","68,300","69,600","69,600","67,900","891.66K","-1.59%"
"Oct 07, 2019","69,400","66,400","69,700","66,400","950.40K","4.52%"
"Oct 04, 2019","66,400","66,100","66,900","65,800","352.08K","0.15%"
"Oct 03, 2019","66,300","66,300","66,300","66,300","-","0.00%"
"Oct 02, 2019","66,300","66,500","66,900","66,000","393.80K","-0.30%"
"Oct 01, 2019","66,500","67,200","67,300","66,200","488.14K","-1.34%"
"Sep 30, 2019","67,400","66,300","67,600","66,000","364.35K","1.05%"
"Sep 29, 2019","66,700","66,700","66,700","66,700","-","0.00%"
"Sep 27, 2019","66,700","67,300","67,300","66,200","292.86K","-0.60%"
"Sep 26, 2019","67,100","66,600","68,100","66,500","579.20K","1.36%"
"Sep 25, 2019","66,200","66,400","66,900","65,800","329.94K","-0.90%"
"Sep 24, 2019","66,800","64,800","67,200","64,800","674.91K","2.61%"
"Sep 23, 2019","65,100","65,800","65,800","65,000","347.78K","-1.21%"
"Sep 22, 2019","65,900","65,900","65,900","65,900","-","0.00%"
"Sep 20, 2019","65,900","65,200","65,900","64,800","487.02K","1.07%"
"Sep 19, 2019","65,200","66,600","66,700","64,800","581.51K","-1.36%"
"Sep 18, 2019","66,100","65,800","66,900","65,400","453.67K","0.76%"
"Sep 17, 2019","65,600","65,400","65,800","65,000","494.42K","-0.91%"
"Sep 16, 2019","66,200","65,700","66,500","65,000","934.13K","2.64%"
"Sep 11, 2019","64,500","65,000","65,600","63,700","1.00M","-0.62%"
"Sep 10, 2019","64,900","61,300","65,500","61,300","1.29M","5.87%"
"Sep 09, 2019","61,300","61,800","62,000","61,200","455.39K","-1.13%"
