19-Dec,113731
19-Nov,90692
19-Oct,104866
19-Sep,92755
19-Aug,84550
19-Jul,83512
19-Jun,94776
19-May,89908
19-Apr,85276
19-Mar,83196
19-Feb,83721
19-Jan,79830
18-Dec,74109
18-Nov,72013
18-Oct,69951
18-Sep,60453
18-Aug,57619
18-Jul,71509
18-Jun,68366
18-May,64080
18-Apr,57581
18-Mar,61050
18-Feb,48589
18-Jan,42221
17-Dec,47184
17-Nov,46323
17-Oct,53327
17-Sep,43899
17-Aug,25338
17-Jul,29642
17-Jun,25953
17-May,34049
17-Apr,33835
17-Mar,28831
17-Feb,32092
17-Jan,22046
16-Dec,14518
16-Nov,18170
16-Oct,15552
16-Sep,23241
16-Aug,22331
16-Jul,16612
16-Jun,15915
16-May,24414
16-Apr,18714
16-Mar,18471
16-Feb,13161
16-Jan,15176
15-Dec,12162
15-Nov,9592
15-Oct,15503
15-Sep,12314
15-Aug,14286
15-Jul,16934
15-Jun,13355
15-May,16338
15-Apr,17969
15-Mar,13565
15-Feb,12380
15-Jan,15342
14-Dec,13053
14-Nov,15619
14-Oct,11653
14-Sep,10479
14-Aug,12136
14-Jul,13045
14-Jun,11833
14-May,9567
14-Apr,8448
14-Mar,7794
14-Feb,6907
14-Jan,7698
13-Dec,6834
13-Nov,7578
13-Oct,3679
13-Sep,3162
13-Aug,2192
13-Jul,3217
13-Jun,3723
13-May,4034
13-Apr,4151
13-Mar,3310
13-Feb,3705
13-Jan,3384
12-Dec,2191
12-Nov,2201
12-Oct,2079
12-Sep,2038
12-Aug,1866
12-Jul,2388
12-Jun,1381
12-May,2571
12-Apr,1228
12-Mar,2196
12-Feb,2127
12-Jan,2425
11-Dec,1646
11-Nov,1928
11-Oct,1568
11-Sep,1065
11-Aug,1047
11-Jul,2263
11-Jun,1066
11-May,1148
11-Apr,1227
11-Mar,1126
11-Feb,847
11-Jan,2228
10-Dec,1249
10-Nov,953
10-Oct,728
10-Sep,1838
10-Aug,1113
10-Jul,2140
10-Jun,937
10-May,1121
10-Apr,1095
10-Mar,1395
10-Feb,1621
10-Jan,1008
09-Dec,2022
09-Nov,1365
09-Oct,2241
09-Sep,1265
09-Aug,1091
09-Jul,971
09-Jun,1698
09-May,1634
09-Apr,799
09-Mar,943
09-Feb,833
09-Jan,1122
08-Dec,1413
08-Nov,916
08-Oct,1321
08-Sep,1173
08-Aug,1234
08-Jul,894
08-Jun,659
08-May,581
08-Apr,419
08-Mar,910
08-Feb,578
08-Jan,364
07-Dec,626
07-Nov,603
07-Oct,337
07-Sep,1013
07-Aug,1307
07-Jul,822
07-Jun,1565
07-May,1117
07-Apr,573
07-Mar,1047
07-Feb,703
07-Jan,294
06-Dec,839
06-Nov,714
06-Oct,1152
06-Sep,631
06-Aug,472
06-Jul,414
06-Jun,987
06-May,829
06-Apr,794
06-Mar,903
06-Feb,415
06-Jan,849
05-Dec,759
05-Nov,1445
05-Oct,530
05-Sep,727
05-Aug,531
05-Jul,1058
05-Jun,640
05-May,1694
05-Apr,1345
05-Mar,1111
05-Feb,541
05-Jan,1239
04-Dec,933
04-Nov,1253
04-Oct,786
04-Sep,1040
04-Aug,409
04-Jul,549
04-Jun,1349
04-May,809
04-Apr,1640
04-Mar,599
04-Feb,223
04-Jan,191
03-Dec,109
03-Nov,638
03-Oct,433
03-Sep,99
03-Aug,114
03-Jul,214
03-Jun,1363
03-May,452
03-Apr,360
03-Mar,297
03-Feb,140
03-Jan,318
02-Dec,52
02-Nov,290
02-Oct,122
02-Sep,218
02-Aug,267
02-Jul,1016
02-Jun,161
02-May,224
02-Apr,228
02-Mar,254
02-Feb,124
02-Jan,339
01-Dec,380
01-Nov,265
01-Oct,351
01-Sep,238
01-Aug,874
01-Jul,334
01-Jun,452
01-May,1981
01-Apr,145
01-Mar,1147
01-Feb,674
01-Jan,545
Dec-00,498
Nov-00,71
Oct-00,273
Sep-00,688
Aug-00,536
Jul-00,466
Jun-00,282
May-00,1062
Apr-00,3706
Mar-00,4449
Feb-00,871
Jan-00,5450
