"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","263,000","258,500","263,000","258,000","204.74K","1.74%"
"Oct 31, 2019","258,500","257,000","264,000","254,500","328.32K","0.78%"
"Oct 30, 2019","256,500","258,000","261,500","256,000","294.92K","-0.19%"
"Oct 29, 2019","257,000","259,500","262,000","256,000","281.80K","0.00%"
"Oct 28, 2019","257,000","256,500","260,000","254,000","284.16K","2.39%"
"Oct 25, 2019","251,000","247,500","251,500","246,500","152.25K","0.60%"
"Oct 24, 2019","249,500","238,500","250,000","238,000","245.62K","4.61%"
"Oct 23, 2019","238,500","240,000","241,500","237,500","139.15K","-1.45%"
"Oct 22, 2019","242,000","241,000","243,000","240,000","84.10K","0.62%"
"Oct 21, 2019","240,500","241,000","242,000","238,500","108.21K","-0.21%"
"Oct 18, 2019","241,000","241,000","244,000","240,000","133.72K","-0.82%"
"Oct 17, 2019","243,000","242,000","247,000","240,500","207.09K","1.25%"
"Oct 16, 2019","240,000","237,000","240,500","235,500","178.04K","2.13%"
"Oct 15, 2019","235,000","230,500","236,500","230,000","204.51K","1.95%"
"Oct 14, 2019","230,500","232,000","234,000","230,500","142.23K","0.00%"
"Oct 11, 2019","230,500","227,500","232,500","224,000","146.97K","2.22%"
"Oct 10, 2019","225,500","227,500","229,500","225,500","269.93K","-1.74%"
"Oct 09, 2019","229,500","229,500","229,500","229,500","-","0.00%"
"Oct 08, 2019","229,500","230,000","232,500","228,500","182.53K","0.00%"
"Oct 07, 2019","229,500","226,000","231,500","225,000","207.44K","1.55%"
"Oct 04, 2019","226,000","225,500","229,500","225,500","233.23K","-0.44%"
"Oct 02, 2019","227,000","225,000","234,000","225,000","394.03K","1.34%"
"Oct 01, 2019","224,000","205,500","225,000","205,000","371.78K","9.80%"
"Sep 30, 2019","204,000","200,500","205,000","200,500","85.84K","0.74%"
"Sep 27, 2019","202,500","207,000","207,500","200,500","98.19K","-1.94%"
"Sep 26, 2019","206,500","209,000","210,000","204,000","99.69K","-0.72%"
"Sep 25, 2019","208,000","211,500","213,500","207,000","114.02K","-2.80%"
"Sep 24, 2019","214,000","209,000","214,000","209,000","116.01K","0.94%"
"Sep 23, 2019","212,000","212,000","213,500","211,000","96.57K","-0.93%"
"Sep 20, 2019","214,000","208,500","214,000","207,500","120.01K","1.90%"
"Sep 19, 2019","210,000","211,500","213,000","207,500","87.00K","-0.71%"
"Sep 18, 2019","211,500","211,000","213,500","210,500","89.18K","0.48%"
"Sep 17, 2019","210,500","217,000","217,000","210,500","154.22K","-3.00%"
"Sep 16, 2019","217,000","207,000","218,500","206,000","283.32K","6.37%"
"Sep 11, 2019","204,000","203,500","206,000","203,000","162.62K","0.00%"
"Sep 10, 2019","204,000","203,000","205,000","201,500","109.73K","0.49%"
"Sep 09, 2019","203,000","202,500","206,000","202,500","77.60K","-0.25%"
"Sep 06, 2019","203,500","203,500","206,500","202,500","55.02K","-0.49%"
"Sep 05, 2019","204,500","201,000","206,000","200,500","93.09K","0.99%"
"Sep 04, 2019","202,500","202,500","203,500","200,000","105.02K","-0.49%"
"Sep 03, 2019","203,500","199,000","206,500","199,000","148.82K","1.24%"
"Sep 02, 2019","201,000","196,500","201,500","196,000","56.83K","0.50%"
"Sep 01, 2019","200,000","200,000","200,000","200,000","-","0.00%"
"Aug 30, 2019","200,000","195,000","201,000","193,000","153.76K","2.56%"
"Aug 29, 2019","195,000","193,000","195,000","191,000","107.99K","0.78%"
"Aug 28, 2019","193,500","194,500","194,500","192,000","72.87K","0.52%"
"Aug 27, 2019","192,500","195,000","196,000","191,500","152.56K","-1.03%"
"Aug 26, 2019","194,500","194,000","196,500","190,500","120.05K","-1.27%"
"Aug 23, 2019","197,000","196,000","198,000","195,000","84.02K","-0.76%"
"Aug 22, 2019","198,500","200,000","202,000","198,000","139.48K","0.00%"
"Aug 21, 2019","198,500","194,500","199,500","194,500","101.09K","1.28%"
"Aug 20, 2019","196,000","194,000","197,500","192,000","123.41K","0.26%"
"Aug 19, 2019","195,500","193,000","196,500","192,000","86.89K","1.30%"
"Aug 18, 2019","193,000","193,000","193,000","193,000","-","0.00%"
"Aug 16, 2019","193,000","194,500","194,500","189,000","220.75K","-2.28%"
"Aug 14, 2019","197,500","195,000","199,500","194,000","127.95K","2.07%"
"Aug 13, 2019","193,500","196,000","198,000","193,000","180.22K","-2.03%"
"Aug 12, 2019","197,500","201,500","203,000","197,000","78.52K","-1.99%"
"Aug 11, 2019","201,500","201,500","201,500","201,500","-","0.00%"
"Aug 09, 2019","201,500","203,000","203,500","200,500","105.06K","0.25%"
"Aug 08, 2019","201,000","202,000","203,500","200,500","184.86K","0.50%"
"Aug 07, 2019","200,000","203,000","205,000","199,000","148.97K","-2.91%"
"Aug 06, 2019","206,000","200,500","207,500","200,500","159.66K","-0.72%"
"Aug 05, 2019","207,500","205,000","209,000","204,000","146.58K","-0.48%"
"Aug 02, 2019","208,500","211,500","211,500","207,500","159.63K","-3.02%"
"Aug 01, 2019","215,000","218,000","219,000","214,500","121.30K","-2.71%"
"Jul 31, 2019","221,000","220,500","222,000","218,000","87.92K","0.23%"
"Jul 30, 2019","220,500","223,000","223,000","219,000","45.44K","-0.45%"
"Jul 29, 2019","221,500","224,500","224,500","219,500","71.87K","-1.34%"
"Jul 26, 2019","224,500","224,000","225,000","221,000","78.11K","-0.22%"
"Jul 25, 2019","225,000","229,000","230,000","224,500","95.71K","-2.17%"
"Jul 24, 2019","230,000","228,000","232,500","227,500","100.33K","0.88%"
"Jul 23, 2019","228,000","226,500","228,500","224,000","75.61K","1.11%"
"Jul 22, 2019","225,500","229,000","229,000","224,500","61.62K","-1.10%"
"Jul 19, 2019","228,000","226,000","228,500","224,000","63.47K","0.88%"
"Jul 18, 2019","226,000","224,500","227,500","223,500","61.54K","-0.66%"
"Jul 17, 2019","227,500","230,000","230,000","223,000","63.10K","-0.66%"
"Jul 16, 2019","229,000","224,500","230,000","224,000","96.21K","2.23%"
"Jul 15, 2019","224,000","222,000","224,500","222,000","70.90K","0.22%"
"Jul 12, 2019","223,500","223,500","225,000","221,500","85.10K","0.22%"
"Jul 11, 2019","223,000","220,500","225,500","220,500","159.59K","1.36%"
"Jul 10, 2019","220,000","222,000","222,500","219,500","91.31K","-1.35%"
"Jul 09, 2019","223,000","223,000","224,500","221,000","63.67K","0.22%"
"Jul 08, 2019","222,500","229,000","230,000","222,500","71.40K","-3.89%"
"Jul 05, 2019","231,500","227,500","232,000","226,500","42.16K","1.76%"
"Jul 04, 2019","227,500","229,000","229,500","223,500","99.77K","-0.22%"
"Jul 03, 2019","228,000","233,000","233,000","227,500","66.69K","-2.15%"
"Jul 02, 2019","233,000","231,000","233,000","230,500","56.31K","0.43%"
"Jul 01, 2019","232,000","233,000","234,500","231,500","52.18K","0.00%"
"Jun 28, 2019","232,000","233,000","236,000","231,500","57.95K","-0.85%"
"Jun 27, 2019","234,000","234,000","235,500","232,000","87.09K","-0.43%"
"Jun 26, 2019","235,000","234,500","236,500","234,000","68.38K","-0.63%"
"Jun 25, 2019","236,500","235,500","237,500","234,000","75.04K","0.21%"
"Jun 24, 2019","236,000","239,500","239,500","235,000","58.11K","-1.05%"
"Jun 21, 2019","238,500","238,500","240,500","238,000","59.09K","-0.63%"
"Jun 20, 2019","240,000","239,000","241,500","237,000","71.99K","0.42%"
"Jun 19, 2019","239,000","235,500","239,000","235,500","59.52K","1.92%"
"Jun 18, 2019","234,500","233,500","235,000","233,000","48.95K","0.64%"
"Jun 17, 2019","233,000","234,000","235,000","231,500","78.91K","-0.43%"
"Jun 14, 2019","234,000","238,000","238,000","232,500","107.48K","-2.30%"
"Jun 13, 2019","239,500","235,000","239,500","233,000","112.49K","1.27%"
"Jun 12, 2019","236,500","238,000","239,000","235,500","74.76K","-1.05%"
"Jun 11, 2019","239,000","238,000","239,000","233,500","93.83K","0.00%"
"Jun 10, 2019","239,000","239,000","239,500","237,000","59.13K","0.42%"
"Jun 07, 2019","238,000","237,500","239,500","234,500","54.45K","0.42%"
"Jun 05, 2019","237,000","241,000","242,000","235,000","75.97K","-0.84%"
"Jun 04, 2019","239,000","237,000","239,500","235,500","70.93K","0.00%"
"Jun 03, 2019","239,000","229,500","239,000","227,000","108.69K","3.24%"
"May 31, 2019","231,500","233,000","233,000","229,000","107.54K","-1.28%"
"May 30, 2019","234,500","227,500","234,500","226,500","103.42K","2.40%"
"May 29, 2019","229,000","238,000","238,000","227,500","148.15K","-4.18%"
"May 28, 2019","239,000","237,500","239,000","234,000","294.01K","1.70%"
"May 27, 2019","235,000","237,000","238,500","233,500","72.86K","-1.26%"
"May 24, 2019","238,000","237,500","239,000","235,500","58.15K","0.21%"
"May 23, 2019","237,500","236,500","239,500","236,000","79.53K","-0.42%"
"May 22, 2019","238,500","240,500","241,000","235,500","127.68K","-1.24%"
"May 21, 2019","241,500","239,000","242,500","239,000","74.81K","0.00%"
"May 20, 2019","241,500","243,000","245,500","240,500","62.22K","-0.21%"
"May 17, 2019","242,000","244,500","247,500","242,000","82.13K","-1.02%"
"May 16, 2019","244,500","249,000","251,000","244,000","98.07K","-2.59%"
"May 15, 2019","251,000","249,000","251,500","247,000","85.34K","0.20%"
"May 14, 2019","250,500","248,500","251,500","245,500","110.01K","0.80%"
"May 13, 2019","248,500","245,500","249,500","245,500","73.19K","0.00%"
"May 10, 2019","248,500","246,500","251,500","246,500","99.67K","0.81%"
"May 09, 2019","246,500","253,000","255,500","246,500","145.86K","-3.14%"
"May 08, 2019","254,500","252,500","256,500","251,500","71.74K","-0.78%"
"May 07, 2019","256,500","252,500","256,500","252,500","76.13K","0.00%"
"May 03, 2019","256,500","254,500","259,500","254,500","64.17K","-0.58%"
