"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","83,100","82,300","83,200","81,600","1.70M","1.34%"
"Oct 31, 2019","82,000","81,900","83,400","81,600","1.98M","0.61%"
"Oct 30, 2019","81,500","83,400","83,400","81,000","1.93M","-1.81%"
"Oct 29, 2019","83,000","84,000","84,000","82,900","1.64M","0.12%"
"Oct 28, 2019","82,900","83,400","84,000","82,600","1.98M","0.00%"
"Oct 27, 2019","82,900","82,900","82,900","82,900","-","0.00%"
"Oct 25, 2019","82,900","82,400","82,900","81,500","4.21M","3.63%"
"Oct 24, 2019","80,000","79,900","80,100","78,700","3.07M","2.96%"
"Oct 23, 2019","77,700","78,500","78,600","77,700","2.47M","-1.77%"
"Oct 22, 2019","79,100","78,900","79,300","78,200","3.00M","2.06%"
"Oct 21, 2019","77,500","77,800","78,400","77,100","2.09M","0.13%"
"Oct 20, 2019","77,400","77,400","77,400","77,400","-","0.00%"
"Oct 18, 2019","77,400","81,500","81,700","77,300","5.88M","-4.44%"
"Oct 17, 2019","81,000","82,000","82,200","80,600","1.56M","-1.70%"
"Oct 16, 2019","82,400","82,400","82,700","81,900","2.26M","1.48%"
"Oct 15, 2019","81,200","80,700","81,700","80,500","1.40M","0.87%"
"Oct 14, 2019","80,500","82,000","82,300","80,400","1.89M","0.63%"
"Oct 11, 2019","80,000","79,800","80,500","79,400","1.92M","1.27%"
"Oct 10, 2019","79,000","78,900","79,600","78,100","4.08M","-2.35%"
"Oct 09, 2019","80,900","80,900","80,900","80,900","-","0.00%"
"Oct 08, 2019","80,900","80,400","81,100","79,400","1.73M","0.75%"
"Oct 07, 2019","80,300","80,700","81,700","79,800","1.23M","0.00%"
"Oct 06, 2019","80,300","80,300","80,300","80,300","-","0.00%"
"Oct 04, 2019","80,300","78,900","81,300","78,900","2.33M","1.01%"
"Oct 03, 2019","79,500","79,500","79,500","79,500","-","0.00%"
"Oct 02, 2019","79,500","81,600","81,600","79,500","2.18M","-3.05%"
"Oct 01, 2019","82,000","81,800","82,500","81,700","1.33M","-0.24%"
"Sep 30, 2019","82,200","80,600","82,900","80,400","2.41M","0.98%"
"Sep 29, 2019","81,400","81,400","81,400","81,400","-","0.00%"
"Sep 27, 2019","81,400","80,200","81,500","80,100","2.58M","-2.28%"
"Sep 26, 2019","83,300","83,000","83,500","82,500","1.73M","1.71%"
"Sep 25, 2019","81,900","82,200","82,800","81,500","1.63M","-1.80%"
"Sep 24, 2019","83,400","82,500","83,500","81,400","1.56M","0.72%"
"Sep 23, 2019","82,800","81,900","83,300","81,900","1.38M","0.73%"
"Sep 22, 2019","82,200","82,200","82,200","82,200","-","0.00%"
"Sep 20, 2019","82,200","82,800","83,400","82,100","2.34M","-0.60%"
"Sep 19, 2019","82,700","80,600","82,700","80,300","2.87M","3.12%"
"Sep 18, 2019","80,200","80,100","80,600","79,500","2.35M","1.01%"
"Sep 17, 2019","79,400","80,000","80,400","79,100","2.03M","-0.13%"
"Sep 16, 2019","79,500","81,000","81,000","79,000","5.09M","-3.75%"
"Sep 15, 2019","82,600","82,600","82,600","82,600","-","0.00%"
"Sep 11, 2019","82,600","83,400","84,300","81,300","3.63M","-0.60%"
"Sep 10, 2019","83,100","84,200","84,200","82,700","1.73M","-1.42%"
"Sep 09, 2019","84,300","83,100","84,600","82,500","2.48M","2.93%"
"Sep 08, 2019","81,900","81,900","81,900","81,900","-","0.00%"
"Sep 06, 2019","81,900","84,000","84,000","81,500","2.42M","-1.33%"
"Sep 05, 2019","83,000","81,400","83,000","81,200","4.06M","3.75%"
"Sep 04, 2019","80,000","77,400","80,000","77,300","2.68M","3.90%"
"Sep 03, 2019","77,000","77,200","77,600","76,300","1.61M","-0.77%"
"Sep 02, 2019","77,600","77,000","78,200","76,500","1.43M","0.26%"
"Sep 01, 2019","77,400","77,400","77,400","77,400","-","0.00%"
"Aug 30, 2019","77,400","74,600","78,000","74,600","3.80M","5.59%"
"Aug 29, 2019","73,300","73,500","74,100","72,000","2.03M","0.00%"
"Aug 28, 2019","73,300","73,500","73,700","72,500","1.35M","0.41%"
"Aug 27, 2019","73,000","72,500","73,700","72,500","2.51M","1.67%"
"Aug 26, 2019","71,800","72,600","73,000","71,500","2.61M","-3.49%"
"Aug 25, 2019","74,400","74,400","74,400","74,400","-","0.00%"
"Aug 23, 2019","74,400","73,500","75,200","73,400","1.67M","0.81%"
"Aug 22, 2019","73,800","75,300","76,000","73,800","2.30M","-2.64%"
"Aug 21, 2019","75,800","75,900","76,900","75,500","1.89M","-0.79%"
"Aug 20, 2019","76,400","75,500","76,600","75,100","1.69M","1.73%"
"Aug 19, 2019","75,100","77,300","77,500","74,800","1.59M","-1.70%"
"Aug 18, 2019","76,400","76,400","76,400","76,400","-","0.00%"
"Aug 16, 2019","76,400","75,800","76,400","75,100","2.00M","-0.65%"
"Aug 15, 2019","76,900","76,900","76,900","76,900","-","0.00%"
"Aug 14, 2019","76,900","77,200","77,900","76,200","2.53M","3.22%"
"Aug 13, 2019","74,500","74,000","75,100","73,700","1.29M","0.00%"
"Aug 12, 2019","74,500","73,700","75,000","73,500","1.25M","1.64%"
"Aug 11, 2019","73,300","73,300","73,300","73,300","-","0.00%"
"Aug 09, 2019","73,300","73,200","74,100","72,300","2.06M","1.38%"
"Aug 08, 2019","72,300","73,600","74,500","72,000","2.89M","-1.36%"
"Aug 07, 2019","73,300","72,000","74,300","72,000","2.69M","1.81%"
"Aug 06, 2019","72,000","73,100","73,900","71,900","5.00M","-4.51%"
"Aug 05, 2019","75,400","75,500","76,000","74,900","2.84M","-0.92%"
"Aug 04, 2019","76,100","76,100","76,100","76,100","-","0.00%"
"Aug 02, 2019","76,100","75,400","76,800","74,900","4.83M","-2.06%"
"Aug 01, 2019","77,700","75,300","78,700","75,300","3.40M","1.04%"
"Jul 31, 2019","76,900","78,000","79,100","75,300","3.65M","-2.53%"
"Jul 30, 2019","78,900","78,200","80,000","77,700","2.33M","2.47%"
"Jul 29, 2019","77,000","79,000","79,400","76,500","2.61M","-3.51%"
"Jul 28, 2019","79,800","79,800","79,800","79,800","-","0.00%"
"Jul 26, 2019","79,800","78,100","80,300","78,000","3.06M","0.76%"
"Jul 25, 2019","79,200","79,700","80,400","77,700","3.96M","2.06%"
"Jul 24, 2019","77,600","78,800","80,200","77,100","3.56M","-1.52%"
"Jul 23, 2019","78,800","79,700","80,700","78,200","4.80M","0.51%"
"Jul 22, 2019","78,400","77,800","79,200","77,000","3.21M","2.08%"
"Jul 21, 2019","76,800","76,800","76,800","76,800","-","0.00%"
"Jul 19, 2019","76,800","75,900","77,000","75,600","2.62M","2.81%"
"Jul 18, 2019","74,700","74,300","75,200","73,900","1.90M","0.13%"
"Jul 17, 2019","74,600","74,600","75,200","74,000","2.80M","-1.97%"
"Jul 16, 2019","76,100","74,800","76,500","74,800","2.40M","-0.13%"
"Jul 15, 2019","76,200","74,500","76,500","74,400","2.11M","2.01%"
"Jul 12, 2019","74,700","75,600","75,800","74,400","2.59M","-1.06%"
"Jul 11, 2019","75,500","74,000","75,500","74,000","5.10M","3.57%"
"Jul 10, 2019","72,900","71,500","73,400","71,000","4.34M","4.44%"
"Jul 09, 2019","69,800","68,400","70,500","67,900","2.90M","3.56%"
"Jul 08, 2019","67,400","66,400","68,000","66,200","2.20M","-1.46%"
"Jul 07, 2019","68,400","68,400","68,400","68,400","-","0.00%"
"Jul 05, 2019","68,400","70,300","71,000","68,400","2.04M","-2.56%"
"Jul 04, 2019","70,200","69,600","70,700","69,300","1.50M","1.59%"
"Jul 03, 2019","69,100","71,100","71,700","69,000","2.70M","-3.22%"
"Jul 02, 2019","71,400","69,700","71,700","69,100","2.48M","2.00%"
"Jul 01, 2019","70,000","71,000","71,000","69,700","3.53M","0.72%"
"Jun 30, 2019","69,500","69,500","69,500","69,500","-","0.00%"
"Jun 28, 2019","69,500","70,900","70,900","68,400","3.11M","-1.00%"
"Jun 27, 2019","70,200","70,100","71,600","69,700","5.32M","1.89%"
"Jun 26, 2019","68,900","68,300","69,600","67,900","5.02M","3.30%"
"Jun 25, 2019","66,700","66,700","67,400","66,300","1.87M","-0.30%"
"Jun 24, 2019","66,900","65,900","67,400","65,600","2.16M","1.52%"
"Jun 23, 2019","65,900","65,900","65,900","65,900","-","0.00%"
"Jun 21, 2019","65,900","67,100","67,300","65,900","2.40M","-2.08%"
"Jun 20, 2019","67,300","67,200","67,400","66,200","2.75M","0.15%"
"Jun 19, 2019","67,200","65,800","67,300","65,200","6.16M","5.99%"
"Jun 18, 2019","63,400","63,800","64,200","63,300","1.54M","-0.47%"
"Jun 17, 2019","63,700","62,800","63,800","62,400","2.43M","0.95%"
"Jun 16, 2019","63,100","63,100","63,100","63,100","-","0.00%"
"Jun 14, 2019","63,100","63,200","64,000","62,600","3.49M","-0.63%"
"Jun 13, 2019","63,500","64,900","65,100","63,300","5.91M","-3.35%"
"Jun 12, 2019","65,700","66,800","67,100","65,700","2.43M","-2.23%"
"Jun 11, 2019","67,200","66,900","67,800","66,700","2.42M","0.60%"
"Jun 10, 2019","66,800","66,100","67,000","65,800","3.09M","2.14%"
"Jun 07, 2019","65,400","65,200","66,000","64,600","2.35M","0.46%"
"Jun 05, 2019","65,100","66,900","67,600","64,900","4.81M","0.00%"
"Jun 04, 2019","65,100","66,500","66,700","65,100","2.77M","-2.25%"
"Jun 03, 2019","66,600","65,200","67,200","64,200","3.97M","1.99%"
"May 31, 2019","65,300","65,900","66,900","64,700","3.14M","-0.91%"
"May 30, 2019","65,900","66,300","66,900","65,800","3.01M","-0.30%"
"May 29, 2019","66,100","65,600","66,700","64,900","5.91M","0.30%"
"May 28, 2019","65,900","67,200","68,300","65,900","11.15M","-1.49%"
"May 27, 2019","66,900","67,900","68,200","66,400","2.20M","-1.04%"
"May 24, 2019","67,600","67,300","68,600","67,000","3.30M","-0.59%"
"May 23, 2019","68,000","68,400","69,100","67,300","3.10M","-1.31%"
"May 22, 2019","68,900","71,300","71,300","68,500","3.07M","-1.99%"
"May 21, 2019","70,300","70,500","72,200","69,700","3.88M","-0.85%"
"May 20, 2019","70,900","71,800","72,800","70,700","1.97M","-0.98%"
"May 17, 2019","71,600","72,500","73,300","71,400","2.41M","-0.42%"
"May 16, 2019","71,900","74,400","75,100","71,600","3.46M","-3.49%"
"May 15, 2019","74,500","74,800","75,100","73,900","2.05M","-0.13%"
"May 14, 2019","74,600","72,200","75,100","71,600","3.69M","1.50%"
"May 13, 2019","73,500","73,900","75,000","72,800","2.73M","-1.21%"
"May 10, 2019","74,400","76,100","76,700","73,400","5.35M","-2.11%"
"May 09, 2019","76,000","79,600","79,700","75,200","5.51M","-5.35%"
"May 08, 2019","80,300","78,700","80,500","78,000","2.73M","0.50%"
"May 07, 2019","79,900","79,200","80,400","78,700","2.65M","-0.62%"
"May 03, 2019","80,400","81,100","81,300","80,300","2.35M","-0.37%"
"May 02, 2019","80,700","79,700","81,200","79,100","3.09M","2.15%"
"Apr 30, 2019","79,000","79,400","80,700","78,100","2.95M","-1.25%"
"Apr 29, 2019","80,000","78,700","80,100","78,200","2.94M","1.78%"
"Apr 26, 2019","78,600","78,500","79,900","77,600","4.71M","-2.00%"
"Apr 25, 2019","80,200","78,400","81,500","78,100","5.36M","2.17%"
"Apr 24, 2019","78,500","81,500","81,500","77,500","4.10M","-3.09%"
"Apr 23, 2019","81,000","81,000","81,800","80,400","1.78M","0.62%"
"Apr 22, 2019","80,500","81,500","81,800","79,900","1.89M","-1.59%"
"Apr 19, 2019","81,800","80,500","82,400","80,100","3.04M","3.28%"
"Apr 18, 2019","79,200","80,800","81,200","78,500","3.08M","-1.25%"
"Apr 17, 2019","80,200","81,000","82,300","80,000","2.85M","-0.25%"
"Apr 16, 2019","80,400","79,900","80,800","79,100","2.20M","0.88%"
"Apr 15, 2019","79,700","79,000","79,900","78,600","2.02M","2.05%"
"Apr 12, 2019","78,100","77,400","78,800","77,400","1.97M","-0.38%"
"Apr 11, 2019","78,400","79,200","79,500","78,000","2.15M","-0.25%"
"Apr 10, 2019","78,600","76,700","78,800","76,200","2.46M","1.03%"
"Apr 09, 2019","77,800","77,700","78,700","77,400","2.32M","-0.13%"
"Apr 08, 2019","77,900","78,900","79,200","77,600","2.65M","-1.39%"
"Apr 05, 2019","79,000","78,200","79,300","77,900","2.06M","0.77%"
"Apr 04, 2019","78,400","80,400","81,400","77,800","5.30M","-1.88%"
"Apr 03, 2019","79,900","76,800","79,900","76,500","4.66M","4.58%"
"Apr 02, 2019","76,400","77,900","78,000","76,100","2.62M","-0.26%"
"Apr 01, 2019","76,600","75,600","77,100","75,500","3.57M","3.23%"
"Mar 29, 2019","74,200","72,900","74,900","72,700","3.21M","2.63%"
"Mar 28, 2019","72,300","72,300","73,600","71,700","2.77M","-1.50%"
"Mar 27, 2019","73,400","71,800","74,100","71,200","2.74M","0.96%"
"Mar 26, 2019","72,700","72,900","73,300","71,500","2.97M","-0.27%"
"Mar 25, 2019","72,900","73,700","74,200","72,600","3.74M","-4.20%"
"Mar 22, 2019","76,100","78,900","78,900","75,900","5.28M","0.26%"
"Mar 21, 2019","75,900","73,500","76,000","72,600","10.00M","7.66%"
"Mar 20, 2019","70,500","68,400","70,600","67,600","3.59M","3.68%"
"Mar 19, 2019","68,000","67,300","68,000","66,600","2.24M","0.29%"
"Mar 18, 2019","67,800","69,200","69,300","67,300","2.15M","-0.44%"
"Mar 15, 2019","68,100","67,400","68,700","66,700","3.46M","1.19%"
"Mar 14, 2019","67,300","67,400","67,400","66,400","3.10M","0.75%"
"Mar 13, 2019","66,800","67,700","67,800","65,900","2.85M","-1.33%"
"Mar 12, 2019","67,700","67,700","68,600","67,500","2.75M","1.65%"
"Mar 11, 2019","66,600","67,000","67,800","66,200","2.86M","-0.15%"
"Mar 08, 2019","66,700","67,900","68,200","66,200","3.55M","-2.06%"
"Mar 07, 2019","68,100","67,200","68,900","67,100","3.39M","0.00%"
"Mar 06, 2019","68,100","68,500","69,600","67,400","4.89M","-2.30%"
"Mar 05, 2019","69,700","68,300","70,000","68,300","3.46M","-0.57%"
"Mar 04, 2019","70,100","70,300","71,400","69,900","4.90M","0.14%"
"Feb 28, 2019","70,000","72,500","72,600","69,900","7.79M","-5.02%"
"Feb 27, 2019","73,700","75,300","75,700","73,700","2.86M","-1.99%"
"Feb 26, 2019","75,200","75,000","75,900","74,100","2.48M","-0.27%"
"Feb 25, 2019","75,400","77,300","77,600","74,800","2.86M","-1.69%"
"Feb 22, 2019","76,700","75,600","76,700","75,300","1.88M","0.00%"
"Feb 21, 2019","76,700","75,300","77,200","74,600","2.87M","1.32%"
"Feb 20, 2019","75,700","73,700","76,000","73,600","3.13M","2.71%"
"Feb 19, 2019","73,700","74,500","74,800","73,000","1.46M","-1.34%"
"Feb 18, 2019","74,700","74,300","75,300","74,000","1.77M","1.22%"
"Feb 15, 2019","73,800","76,800","76,900","73,800","3.99M","-4.65%"
"Feb 14, 2019","77,400","75,800","77,400","75,100","2.31M","1.57%"
"Feb 13, 2019","76,200","77,300","77,600","76,100","2.36M","0.40%"
"Feb 12, 2019","75,900","74,100","76,400","73,900","3.50M","2.43%"
"Feb 11, 2019","74,100","73,000","74,100","72,200","3.37M","0.82%"
"Feb 08, 2019","73,500","75,200","75,500","73,000","4.00M","-4.17%"
"Feb 07, 2019","76,700","77,500","78,200","76,600","4.13M","1.05%"
"Feb 01, 2019","75,900","75,400","76,400","74,700","3.34M","2.71%"
"Jan 31, 2019","73,900","76,900","77,100","73,700","4.36M","-2.64%"
"Jan 30, 2019","75,900","73,500","76,300","73,000","5.29M","3.41%"
"Jan 29, 2019","73,400","71,400","73,800","71,000","3.37M","2.23%"
"Jan 28, 2019","71,800","74,700","74,900","71,200","4.89M","-3.75%"
