"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","51,200","50,600","51,200","50,400","7.54M","1.59%"
"Oct 31, 2019","50,400","51,000","51,400","50,300","10.21M","0.00%"
"Oct 30, 2019","50,400","50,700","50,800","50,200","8.87M","-1.37%"
"Oct 29, 2019","51,100","51,400","51,700","50,800","7.14M","-0.39%"
"Oct 28, 2019","51,300","50,700","51,500","50,700","6.34M","0.79%"
"Oct 27, 2019","50,900","50,900","50,900","50,900","-","0.00%"
"Oct 25, 2019","50,900","50,800","51,200","50,500","7.84M","0.39%"
"Oct 24, 2019","50,700","52,500","52,500","50,500","10.77M","-0.98%"
"Oct 23, 2019","51,200","51,300","51,500","50,800","8.46M","0.00%"
"Oct 22, 2019","51,200","50,800","51,500","50,700","10.71M","1.79%"
"Oct 21, 2019","50,300","49,900","50,400","49,800","4.39M","0.80%"
"Oct 20, 2019","49,900","49,900","49,900","49,900","-","0.00%"
"Oct 18, 2019","49,900","50,300","50,900","49,650","8.40M","-1.19%"
"Oct 17, 2019","50,500","50,500","50,600","50,100","6.61M","-0.39%"
"Oct 16, 2019","50,700","50,700","50,900","50,400","9.01M","1.20%"
"Oct 15, 2019","50,100","49,900","50,200","49,900","5.90M","0.20%"
"Oct 14, 2019","50,000","50,000","50,300","49,850","10.87M","1.73%"
"Oct 13, 2019","49,150","49,150","49,150","49,150","-","0.00%"
"Oct 11, 2019","49,150","49,000","49,450","48,800","7.73M","1.24%"
"Oct 10, 2019","48,550","48,200","49,200","48,000","17.84M","-0.72%"
"Oct 09, 2019","48,900","48,900","48,900","48,900","-","0.00%"
"Oct 08, 2019","48,900","47,900","49,000","47,600","13.29M","2.41%"
"Oct 07, 2019","47,750","48,350","48,700","47,650","6.47M","-0.52%"
"Oct 06, 2019","48,000","48,000","48,000","48,000","-","0.00%"
"Oct 04, 2019","48,000","47,400","48,650","47,350","8.46M","0.84%"
"Oct 03, 2019","47,600","47,600","47,600","47,600","-","0.00%"
"Oct 02, 2019","47,600","48,350","48,400","47,600","8.37M","-2.56%"
"Oct 01, 2019","48,850","48,900","49,100","48,650","6.20M","-0.41%"
"Sep 30, 2019","49,050","48,050","49,250","47,900","9.20M","1.34%"
"Sep 29, 2019","48,400","48,400","48,400","48,400","-","0.00%"
"Sep 27, 2019","48,400","48,000","48,700","48,000","8.03M","-1.63%"
"Sep 26, 2019","49,200","49,000","49,250","48,900","8.36M","0.61%"
"Sep 25, 2019","48,900","49,200","49,350","48,800","9.11M","-1.21%"
"Sep 24, 2019","49,500","49,050","49,650","48,850","7.84M","0.41%"
"Sep 23, 2019","49,300","49,250","49,300","49,000","7.40M","0.20%"
"Sep 22, 2019","49,200","49,200","49,200","49,200","-","0.00%"
"Sep 20, 2019","49,200","49,400","49,600","49,100","14.91M","0.10%"
"Sep 19, 2019","49,150","48,050","49,200","47,850","15.19M","3.04%"
"Sep 18, 2019","47,700","46,900","47,700","46,800","9.82M","1.71%"
"Sep 17, 2019","46,900","47,000","47,100","46,800","5.99M","-0.42%"
"Sep 16, 2019","47,100","47,000","47,100","46,400","11.99M","-0.11%"
"Sep 15, 2019","47,150","47,150","47,150","47,150","-","0.00%"
"Sep 11, 2019","47,150","47,300","47,400","46,800","16.12M","0.32%"
"Sep 10, 2019","47,000","47,100","47,200","46,550","9.16M","0.21%"
"Sep 09, 2019","46,900","46,450","47,000","46,300","9.17M","1.30%"
"Sep 08, 2019","46,300","46,300","46,300","46,300","-","0.00%"
"Sep 06, 2019","46,300","46,500","46,500","45,850","9.70M","1.31%"
"Sep 05, 2019","45,700","44,800","46,100","44,450","17.82M","3.63%"
"Sep 04, 2019","44,100","43,250","44,100","43,150","11.48M","1.97%"
"Sep 03, 2019","43,250","43,550","43,650","43,100","8.52M","-1.26%"
"Sep 02, 2019","43,800","44,850","44,850","43,650","7.11M","-0.45%"
"Sep 01, 2019","44,000","44,000","44,000","44,000","-","0.00%"
"Aug 30, 2019","44,000","43,750","44,300","43,750","8.78M","1.38%"
"Aug 29, 2019","43,400","44,200","44,200","43,050","10.13M","-1.70%"
"Aug 28, 2019","44,150","44,100","44,400","43,750","5.75M","0.23%"
"Aug 27, 2019","44,050","43,650","44,200","43,600","16.31M","1.03%"
"Aug 26, 2019","43,600","43,050","43,800","42,950","7.94M","-0.80%"
"Aug 25, 2019","43,950","43,950","43,950","43,950","-","0.00%"
"Aug 23, 2019","43,950","43,800","44,200","43,650","4.64M","-0.23%"
"Aug 22, 2019","44,050","44,500","44,700","43,850","8.05M","-1.01%"
"Aug 21, 2019","44,500","44,350","44,800","44,150","6.52M","0.11%"
"Aug 20, 2019","44,450","43,950","44,600","43,550","8.41M","1.95%"
"Aug 19, 2019","43,600","44,350","44,350","43,500","5.97M","-0.68%"
