"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","34,200","33,750","34,300","33,600","585.72K","1.48%"
"Oct 31, 2019","33,700","33,800","34,150","33,500","831.67K","-0.30%"
"Oct 30, 2019","33,800","34,700","34,750","33,700","1.25M","-1.89%"
"Oct 29, 2019","34,450","33,900","34,500","33,900","1.22M","1.77%"
"Oct 28, 2019","33,850","34,650","35,300","33,450","2.08M","-4.24%"
"Oct 25, 2019","35,350","36,150","36,250","34,850","1.02M","-2.48%"
"Oct 24, 2019","36,250","36,150","36,450","35,800","1.07M","1.83%"
"Oct 23, 2019","35,600","35,500","35,750","35,250","666.21K","-0.97%"
"Oct 22, 2019","35,950","35,900","36,100","35,500","715.38K","1.27%"
"Oct 21, 2019","35,500","35,450","35,800","35,350","727.72K","1.00%"
"Oct 18, 2019","35,150","35,200","35,650","34,950","864.98K","-0.57%"
"Oct 17, 2019","35,350","35,400","35,700","35,000","815.65K","0.57%"
"Oct 16, 2019","35,150","35,700","35,900","34,800","1.30M","-0.14%"
"Oct 15, 2019","35,200","35,000","35,400","34,850","1.06M","0.57%"
"Oct 14, 2019","35,000","34,100","35,150","34,050","1.46M","4.01%"
"Oct 11, 2019","33,650","33,150","33,800","33,150","1.09M","2.91%"
"Oct 10, 2019","32,700","33,200","33,600","32,700","2.08M","-3.54%"
"Oct 08, 2019","33,900","34,450","34,650","33,800","1.00M","-0.44%"
"Oct 07, 2019","34,050","34,200","34,600","33,900","488.86K","0.00%"
"Oct 04, 2019","34,050","34,050","34,550","34,050","679.52K","-0.73%"
"Oct 02, 2019","34,300","34,650","34,700","33,900","1.11M","-1.58%"
"Oct 01, 2019","34,850","35,250","35,600","34,850","820.17K","-1.13%"
"Sep 30, 2019","35,250","35,350","35,650","34,900","884.52K","0.71%"
"Sep 27, 2019","35,000","36,000","36,000","34,600","957.87K","-2.23%"
"Sep 26, 2019","35,800","35,800","36,000","35,450","753.17K","1.13%"
"Sep 25, 2019","35,400","35,350","36,000","35,350","844.52K","-1.26%"
"Sep 24, 2019","35,850","36,350","36,500","35,600","912.30K","-1.38%"
"Sep 23, 2019","36,350","36,200","36,500","36,100","1.12M","-1.49%"
"Sep 22, 2019","36,900","36,900","36,900","36,900","-","0.00%"
"Sep 20, 2019","36,900","35,500","36,900","35,400","1.77M","4.09%"
"Sep 19, 2019","35,450","35,450","35,750","35,400","798.24K","-0.14%"
"Sep 18, 2019","35,500","36,100","36,150","35,400","1.18M","-0.84%"
"Sep 17, 2019","35,800","35,750","35,900","35,500","1.04M","-0.28%"
"Sep 16, 2019","35,900","35,300","36,200","35,300","1.47M","1.70%"
"Sep 11, 2019","35,300","35,350","35,950","35,250","2.44M","0.86%"
"Sep 10, 2019","35,000","34,350","35,250","34,350","1.40M","2.49%"
"Sep 09, 2019","34,150","33,550","34,550","33,550","947.64K","1.19%"
"Sep 08, 2019","33,750","33,750","33,750","33,750","-","0.00%"
"Sep 06, 2019","33,750","32,950","34,200","32,950","1.12M","2.43%"
"Sep 05, 2019","32,950","32,800","33,550","32,800","802.22K","-0.15%"
"Sep 04, 2019","33,000","32,650","33,100","32,550","837.08K","1.38%"
"Sep 03, 2019","32,550","32,450","32,950","32,350","667.46K","0.00%"
"Sep 02, 2019","32,550","32,300","33,150","32,200","755.09K","0.15%"
"Aug 30, 2019","32,500","32,250","32,900","32,200","1.00M","1.25%"
"Aug 29, 2019","32,100","31,900","32,200","31,650","515.20K","0.63%"
"Aug 28, 2019","31,900","31,950","32,050","31,600","716.50K","1.11%"
"Aug 27, 2019","31,550","32,150","32,200","31,550","1.33M","-1.71%"
"Aug 26, 2019","32,100","31,900","32,200","31,500","1.12M","0.00%"
"Aug 23, 2019","32,100","31,650","32,350","31,600","724.31K","0.94%"
"Aug 22, 2019","31,800","32,000","32,100","31,800","847.56K","-0.16%"
"Aug 21, 2019","31,850","31,850","32,250","31,850","781.39K","-0.62%"
"Aug 20, 2019","32,050","32,100","32,350","31,850","1.06M","-1.08%"
"Aug 19, 2019","32,400","31,650","32,650","31,500","955.01K","2.69%"
"Aug 18, 2019","31,550","31,550","31,550","31,550","-","0.00%"
"Aug 16, 2019","31,550","31,450","31,900","30,900","1.52M","0.32%"
"Aug 14, 2019","31,450","32,000","32,250","31,400","1.39M","-1.26%"
"Aug 13, 2019","31,850","32,250","32,500","31,800","1.34M","-2.00%"
"Aug 12, 2019","32,500","32,600","32,700","32,350","804.36K","-0.61%"
"Aug 11, 2019","32,700","32,700","32,700","32,700","-","0.00%"
"Aug 09, 2019","32,700","33,000","33,050","32,650","1.16M","-0.30%"
"Aug 08, 2019","32,800","32,950","33,050","32,750","1.74M","0.15%"
"Aug 07, 2019","32,750","33,200","33,250","32,500","1.26M","-1.36%"
"Aug 06, 2019","33,200","33,000","33,350","32,450","1.38M","-0.60%"
"Aug 05, 2019","33,400","33,800","33,850","32,750","1.41M","-1.47%"
"Aug 04, 2019","33,900","33,900","33,900","33,900","-","0.00%"
"Aug 02, 2019","33,900","34,900","34,950","33,850","1.46M","-3.69%"
"Aug 01, 2019","35,200","34,750","35,250","34,550","1.13M","1.29%"
"Jul 31, 2019","34,750","34,750","35,200","34,700","1.24M","-0.71%"
"Jul 30, 2019","35,000","35,100","35,150","34,700","1.13M","-0.28%"
"Jul 29, 2019","35,100","35,350","35,500","34,900","926.59K","-0.71%"
"Jul 26, 2019","35,350","35,400","35,400","34,800","1.19M","-0.28%"
"Jul 25, 2019","35,450","36,150","36,200","35,350","1.09M","-2.21%"
"Jul 24, 2019","36,250","36,400","36,750","36,200","887.43K","-1.23%"
"Jul 23, 2019","36,700","36,200","36,850","35,850","1.28M","1.80%"
"Jul 22, 2019","36,050","35,650","36,150","35,600","555.11K","0.14%"
"Jul 19, 2019","36,000","35,600","36,150","35,450","1.09M","1.55%"
"Jul 18, 2019","35,450","36,050","36,200","35,400","1.54M","-2.21%"
"Jul 17, 2019","36,250","36,000","36,400","35,950","782.55K","0.14%"
"Jul 16, 2019","36,200","36,100","36,400","35,900","904.44K","0.00%"
"Jul 15, 2019","36,200","36,100","36,450","35,900","1.13M","0.28%"
"Jul 12, 2019","36,100","35,800","36,250","35,650","975.40K","0.84%"
"Jul 11, 2019","35,800","35,700","36,100","35,700","1.16M","-0.42%"
"Jul 10, 2019","35,950","35,600","36,050","35,450","999.77K","1.27%"
"Jul 09, 2019","35,500","35,900","36,000","35,500","700.46K","-1.11%"
"Jul 08, 2019","35,900","36,300","36,600","35,850","950.07K","-1.91%"
"Jul 05, 2019","36,600","36,850","36,950","36,500","584.53K","0.00%"
"Jul 04, 2019","36,600","36,800","36,850","36,450","724.17K","0.00%"
"Jul 03, 2019","36,600","37,450","37,600","36,600","1.14M","-2.40%"
"Jul 02, 2019","37,500","37,550","37,600","37,250","787.37K","-0.13%"
"Jul 01, 2019","37,550","37,650","37,750","37,500","1.04M","0.40%"
"Jun 28, 2019","37,400","37,650","38,050","37,400","861.63K","0.00%"
"Jun 27, 2019","37,400","37,050","37,500","37,000","841.71K","-0.27%"
"Jun 26, 2019","37,500","36,800","37,600","36,700","1.75M","1.76%"
"Jun 25, 2019","36,850","37,150","37,150","36,700","1.15M","-0.27%"
"Jun 24, 2019","36,950","36,850","37,150","36,750","998.80K","0.82%"
"Jun 23, 2019","36,650","36,650","36,650","36,650","-","0.00%"
"Jun 21, 2019","36,650","36,500","37,050","36,400","2.23M","0.41%"
"Jun 20, 2019","36,500","37,150","37,300","36,250","2.29M","-2.01%"
"Jun 19, 2019","37,250","37,800","37,850","37,200","2.18M","-0.67%"
"Jun 18, 2019","37,500","37,500","37,650","37,300","581.07K","0.54%"
"Jun 17, 2019","37,300","37,300","37,700","37,100","717.54K","0.13%"
"Jun 14, 2019","37,250","37,200","37,350","36,950","709.93K","0.13%"
"Jun 13, 2019","37,200","37,550","37,750","36,900","1.27M","-0.93%"
"Jun 12, 2019","37,550","37,350","37,900","37,350","831.00K","-0.13%"
"Jun 11, 2019","37,600","37,600","37,750","37,450","816.21K","-0.40%"
"Jun 10, 2019","37,750","37,700","38,150","37,700","841.18K","0.67%"
"Jun 07, 2019","37,500","36,850","37,750","36,650","1.16M","1.35%"
"Jun 05, 2019","37,000","36,900","37,150","36,750","1.10M","-0.27%"
"Jun 04, 2019","37,100","37,100","37,300","36,800","844.85K","1.09%"
"Jun 03, 2019","36,700","36,500","36,800","36,150","967.92K","1.10%"
"May 31, 2019","36,300","36,450","36,700","36,150","998.45K","-2.29%"
"May 30, 2019","37,150","36,800","37,150","36,400","944.45K","0.95%"
"May 29, 2019","36,800","37,550","37,600","36,500","853.52K","-1.34%"
"May 28, 2019","37,300","37,300","37,650","37,000","1.53M","0.00%"
"May 27, 2019","37,300","37,400","37,750","36,950","427.52K","-0.93%"
"May 24, 2019","37,650","36,700","37,800","36,500","864.37K","2.45%"
"May 23, 2019","36,750","36,950","37,400","36,750","675.66K","-0.81%"
"May 22, 2019","37,050","37,200","37,450","36,850","648.59K","-0.94%"
"May 21, 2019","37,400","36,550","37,600","36,400","857.34K","2.19%"
"May 20, 2019","36,600","36,450","37,100","36,400","555.74K","0.55%"
"May 17, 2019","36,400","36,650","37,150","36,400","784.21K","-1.09%"
"May 16, 2019","36,800","36,600","37,200","36,150","1.32M","0.68%"
"May 15, 2019","36,550","35,550","36,800","35,350","1.20M","2.96%"
"May 14, 2019","35,500","36,000","36,000","35,400","975.58K","-1.39%"
"May 13, 2019","36,000","36,000","36,400","35,850","784.87K","-0.83%"
"May 10, 2019","36,300","36,500","37,250","36,100","987.91K","-0.55%"
"May 09, 2019","36,500","36,950","37,150","36,500","1.27M","-1.62%"
"May 08, 2019","37,100","36,500","37,300","36,400","1.01M","0.54%"
"May 07, 2019","36,900","36,400","36,900","36,250","725.28K","1.10%"
"May 03, 2019","36,500","36,800","36,900","36,350","614.07K","-1.08%"
"May 02, 2019","36,900","36,350","36,950","36,200","953.78K","0.27%"
"Apr 30, 2019","36,800","37,000","37,750","36,650","796.07K","-1.47%"
"Apr 29, 2019","37,350","36,450","37,350","36,050","844.04K","2.47%"
"Apr 26, 2019","36,450","36,950","37,100","36,350","880.26K","-2.28%"
"Apr 25, 2019","37,300","37,200","37,500","36,950","601.02K","0.95%"
"Apr 24, 2019","36,950","37,700","38,050","36,850","888.18K","-1.34%"
"Apr 23, 2019","37,450","37,300","37,650","37,100","619.77K","0.27%"
"Apr 22, 2019","37,350","37,950","38,000","37,050","777.10K","-1.32%"
"Apr 19, 2019","37,850","37,950","38,200","37,750","274.97K","-0.39%"
"Apr 18, 2019","38,000","38,750","38,800","37,850","603.09K","-1.30%"
"Apr 17, 2019","38,500","38,650","38,900","38,100","869.76K","-0.39%"
"Apr 16, 2019","38,650","38,650","39,150","38,500","556.59K","-1.02%"
"Apr 15, 2019","39,050","38,750","39,150","38,750","591.07K","0.64%"
"Apr 12, 2019","38,800","39,100","39,150","38,600","735.30K","-0.39%"
"Apr 11, 2019","38,950","39,400","39,550","38,800","981.62K","-0.51%"
"Apr 10, 2019","39,150","39,000","39,400","38,650","757.06K","-0.13%"
"Apr 09, 2019","39,200","39,300","39,750","39,150","426.73K","-0.88%"
"Apr 08, 2019","39,550","39,700","39,950","39,300","573.64K","0.13%"
"Apr 05, 2019","39,500","39,550","39,800","39,150","298.87K","0.25%"
"Apr 04, 2019","39,400","39,350","39,750","39,350","607.40K","0.38%"
"Apr 03, 2019","39,250","38,950","39,450","38,600","760.11K","0.64%"
"Apr 02, 2019","39,000","38,000","39,100","37,850","1.71M","3.86%"
"Apr 01, 2019","37,550","36,900","37,700","36,850","844.34K","3.16%"
"Mar 29, 2019","36,400","36,500","36,800","35,950","1.10M","1.39%"
"Mar 28, 2019","35,900","36,200","36,300","35,650","900.40K","-0.55%"
"Mar 27, 2019","36,100","35,750","36,150","35,750","545.53K","0.28%"
"Mar 26, 2019","36,000","36,600","36,850","36,000","611.27K","-1.64%"
