"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","219,000","218,500","220,000","216,500","53.38K","1.15%"
"Oct 31, 2019","216,500","218,000","220,000","216,000","97.73K","-0.69%"
"Oct 30, 2019","218,000","221,500","222,000","217,500","98.96K","-1.36%"
"Oct 29, 2019","221,000","221,000","223,000","220,000","74.17K","0.00%"
"Oct 28, 2019","221,000","223,000","225,000","220,500","65.14K","-0.67%"
"Oct 25, 2019","222,500","221,500","224,500","221,500","88.90K","-1.77%"
"Oct 24, 2019","226,500","224,000","227,500","223,500","105.24K","0.67%"
"Oct 23, 2019","225,000","221,000","225,500","221,000","76.53K","0.90%"
"Oct 22, 2019","223,000","222,500","225,500","222,000","84.56K","-0.45%"
"Oct 21, 2019","224,000","223,500","225,000","221,500","52.55K","0.90%"
"Oct 18, 2019","222,000","224,500","224,500","221,000","110.54K","-0.67%"
"Oct 17, 2019","223,500","219,500","225,000","219,000","101.69K","0.68%"
"Oct 16, 2019","222,000","220,000","224,000","219,500","96.15K","1.14%"
"Oct 15, 2019","219,500","220,000","222,500","219,000","92.62K","-1.13%"
"Oct 14, 2019","222,000","223,000","227,000","221,500","102.42K","0.45%"
"Oct 11, 2019","221,000","215,000","224,000","215,000","159.97K","3.76%"
"Oct 10, 2019","213,000","213,000","216,500","209,000","224.13K","-1.84%"
"Oct 08, 2019","217,000","218,000","218,500","215,500","80.59K","0.70%"
"Oct 07, 2019","215,500","215,000","218,000","214,500","67.08K","0.00%"
"Oct 04, 2019","215,500","218,500","219,000","215,500","143.12K","-2.49%"
"Oct 02, 2019","221,000","224,500","224,500","220,500","103.28K","-2.64%"
"Oct 01, 2019","227,000","223,500","227,500","222,500","130.55K","1.79%"
"Sep 30, 2019","223,000","225,500","226,500","223,000","122.41K","-1.98%"
"Sep 27, 2019","227,500","230,000","230,000","225,000","78.67K","-0.44%"
"Sep 26, 2019","228,500","233,000","235,000","227,000","160.48K","-2.77%"
"Sep 25, 2019","235,000","231,000","239,000","230,000","146.83K","2.17%"
"Sep 24, 2019","230,000","229,000","230,500","227,000","88.34K","0.66%"
"Sep 23, 2019","228,500","226,500","229,500","226,500","80.33K","0.66%"
"Sep 22, 2019","227,000","227,000","227,000","227,000","-","0.00%"
"Sep 20, 2019","227,000","227,000","229,500","225,000","178.99K","-1.30%"
"Sep 19, 2019","230,000","235,500","236,000","229,500","104.33K","-2.13%"
"Sep 18, 2019","235,000","232,500","236,000","232,500","74.55K","0.64%"
"Sep 17, 2019","233,500","232,000","234,000","230,500","69.79K","0.00%"
"Sep 16, 2019","233,500","233,500","236,500","232,000","126.03K","0.65%"
"Sep 11, 2019","232,000","233,500","235,000","231,000","157.81K","-0.43%"
"Sep 10, 2019","233,000","227,500","234,500","227,500","146.05K","2.64%"
"Sep 09, 2019","227,000","225,000","230,000","224,500","73.17K","0.44%"
"Sep 06, 2019","226,000","226,500","228,000","225,500","74.16K","-0.66%"
"Sep 05, 2019","227,500","225,000","228,500","225,000","79.44K","0.66%"
"Sep 04, 2019","226,000","224,000","227,000","223,500","102.27K","1.12%"
"Sep 03, 2019","223,500","225,500","226,500","223,000","90.22K","-1.54%"
