"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","70,100","69,000","70,200","68,600","250.32K","1.01%"
"Oct 31, 2019","69,400","68,600","69,700","68,400","257.37K","0.43%"
"Oct 30, 2019","69,100","70,000","70,100","68,700","179.78K","-0.58%"
"Oct 29, 2019","69,500","69,300","69,800","68,600","241.67K","0.43%"
"Oct 28, 2019","69,200","68,800","69,600","68,700","195.72K","0.58%"
"Oct 27, 2019","68,800","68,800","68,800","68,800","-","0.00%"
"Oct 25, 2019","68,800","66,300","68,900","66,300","176.03K","1.03%"
"Oct 24, 2019","68,100","67,500","68,300","67,500","238.47K","0.00%"
"Oct 23, 2019","68,100","68,800","69,300","67,900","234.12K","-2.16%"
"Oct 22, 2019","69,600","68,600","70,300","68,600","202.79K","-0.71%"
"Oct 21, 2019","70,100","70,400","70,400","69,500","145.90K","0.86%"
"Oct 18, 2019","69,500","69,400","70,200","69,400","93.48K","-0.29%"
"Oct 17, 2019","69,700","70,000","70,000","69,200","159.89K","0.00%"
"Oct 16, 2019","69,700","69,700","70,400","69,000","128.88K","0.00%"
"Oct 15, 2019","69,700","69,200","70,000","68,700","145.18K","0.72%"
"Oct 14, 2019","69,200","69,500","69,800","68,600","100.57K","0.87%"
"Oct 11, 2019","68,600","68,300","69,300","67,900","158.53K","1.93%"
"Oct 10, 2019","67,300","66,600","68,200","66,500","362.48K","-0.30%"
"Oct 08, 2019","67,500","68,000","68,100","67,100","174.86K","0.15%"
"Oct 07, 2019","67,400","67,300","67,800","66,300","178.65K","0.45%"
"Oct 04, 2019","67,100","67,500","68,300","67,100","203.59K","-1.47%"
"Oct 02, 2019","68,100","69,500","69,600","68,000","185.05K","-2.01%"
"Oct 01, 2019","69,500","70,000","70,600","69,200","182.13K","-0.71%"
"Sep 30, 2019","70,000","68,900","70,100","68,900","222.48K","1.60%"
"Sep 27, 2019","68,900","70,700","70,700","68,600","212.30K","-1.57%"
"Sep 26, 2019","70,000","70,500","71,200","69,500","192.22K","-0.99%"
"Sep 25, 2019","70,700","71,000","71,700","70,600","142.03K","-1.12%"
"Sep 24, 2019","71,500","71,900","72,000","71,100","192.61K","-0.14%"
"Sep 23, 2019","71,600","71,100","71,700","70,800","129.30K","0.70%"
"Sep 20, 2019","71,100","70,700","71,100","70,000","225.93K","0.14%"
"Sep 19, 2019","71,000","71,400","71,700","70,700","158.41K","-0.98%"
"Sep 18, 2019","71,700","71,500","71,900","71,200","119.19K","0.42%"
"Sep 17, 2019","71,400","70,600","71,600","70,500","237.66K","0.85%"
"Sep 16, 2019","70,800","71,300","71,300","70,400","236.21K","0.71%"
"Sep 11, 2019","70,300","72,600","72,900","70,300","405.07K","-2.63%"
"Sep 10, 2019","72,200","72,000","72,400","71,500","97.58K","0.42%"
"Sep 09, 2019","71,900","72,300","72,300","71,400","126.94K","0.00%"
"Sep 06, 2019","71,900","70,700","71,900","70,600","114.07K","1.13%"
"Sep 05, 2019","71,100","71,100","71,900","70,900","179.33K","-0.84%"
"Sep 04, 2019","71,700","70,400","71,800","70,400","208.00K","1.13%"
"Sep 03, 2019","70,900","71,200","71,700","70,400","156.22K","-0.42%"
"Sep 02, 2019","71,200","70,100","71,700","70,100","83.53K","0.00%"
"Sep 01, 2019","71,200","71,200","71,200","71,200","-","0.00%"
