"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","160,500","160,000","162,500","159,000","221.86K","0.31%"
"Oct 31, 2019","160,000","159,500","161,500","158,500","287.48K","0.63%"
"Oct 30, 2019","159,000","163,000","163,000","159,000","156.44K","-2.15%"
"Oct 29, 2019","162,500","161,000","162,500","161,000","123.26K","0.93%"
"Oct 28, 2019","161,000","163,000","163,500","161,000","98.45K","-0.62%"
"Oct 27, 2019","162,000","162,000","162,000","162,000","-","0.00%"
"Oct 25, 2019","162,000","162,500","163,500","161,000","133.11K","-0.92%"
"Oct 24, 2019","163,500","160,500","163,500","160,000","185.44K","2.51%"
"Oct 23, 2019","159,500","164,000","164,000","159,000","254.63K","-2.45%"
"Oct 22, 2019","163,500","161,000","163,500","160,500","157.13K","1.87%"
"Oct 21, 2019","160,500","164,000","164,500","160,500","119.41K","-1.53%"
"Oct 20, 2019","163,000","163,000","163,000","163,000","-","0.00%"
"Oct 18, 2019","163,000","163,500","164,000","162,000","216.16K","0.31%"
"Oct 17, 2019","162,500","164,000","164,500","161,500","183.96K","0.31%"
"Oct 16, 2019","162,000","164,000","165,500","161,500","217.28K","-1.22%"
"Oct 15, 2019","164,000","169,000","169,000","163,500","229.33K","-2.96%"
"Oct 14, 2019","169,000","170,000","171,500","168,000","129.84K","0.90%"
"Oct 11, 2019","167,500","165,000","169,500","164,500","208.07K","2.76%"
"Oct 10, 2019","163,000","165,000","167,000","163,000","291.85K","-2.98%"
"Oct 09, 2019","168,000","168,000","168,000","168,000","-","0.00%"
"Oct 08, 2019","168,000","164,000","168,500","164,000","178.63K","1.82%"
"Oct 07, 2019","165,000","164,000","166,000","164,000","134.20K","0.61%"
"Oct 06, 2019","164,000","164,000","164,000","164,000","-","0.00%"
"Oct 04, 2019","164,000","162,500","166,000","162,000","123.35K","0.92%"
"Oct 03, 2019","162,500","162,500","162,500","162,500","-","0.00%"
"Oct 02, 2019","162,500","164,500","165,000","162,500","125.83K","-1.81%"
"Oct 01, 2019","165,500","165,000","167,000","164,000","185.97K","-0.30%"
"Sep 30, 2019","166,000","164,000","168,000","164,000","191.31K","1.22%"
"Sep 27, 2019","164,000","167,000","167,000","164,000","144.20K","-1.50%"
"Sep 26, 2019","166,500","169,000","169,000","165,500","192.84K","-0.89%"
"Sep 25, 2019","168,000","167,500","168,500","167,000","164.12K","-0.88%"
"Sep 24, 2019","169,500","170,000","170,000","168,000","93.26K","0.00%"
"Sep 23, 2019","169,500","168,000","170,000","167,000","125.88K","0.59%"
"Sep 22, 2019","168,500","168,500","168,500","168,500","-","0.00%"
"Sep 20, 2019","168,500","167,500","169,500","167,500","183.89K","-0.30%"
"Sep 19, 2019","169,000","168,500","170,000","167,500","130.90K","-0.29%"
"Sep 18, 2019","169,500","170,500","171,000","166,000","177.06K","-1.17%"
"Sep 17, 2019","171,500","175,500","176,000","171,500","177.28K","-0.87%"
"Sep 16, 2019","173,000","176,000","178,000","172,000","440.30K","2.67%"
"Sep 15, 2019","168,500","168,500","168,500","168,500","-","0.00%"
"Sep 11, 2019","168,500","167,000","170,000","167,000","268.62K","1.20%"
"Sep 10, 2019","166,500","166,000","168,000","165,500","136.32K","0.60%"
"Sep 09, 2019","165,500","164,500","166,000","163,000","144.06K","0.61%"
"Sep 06, 2019","164,500","163,000","164,500","161,500","142.99K","0.30%"
"Sep 05, 2019","164,000","163,000","165,000","161,500","222.35K","1.55%"
"Sep 04, 2019","161,500","160,500","162,500","160,000","188.72K","-0.62%"
"Sep 03, 2019","162,500","165,500","166,000","161,000","155.11K","-1.81%"
"Sep 02, 2019","165,500","163,500","166,500","162,500","125.90K","0.30%"
"Sep 01, 2019","165,000","165,000","165,000","165,000","-","0.00%"
"Aug 30, 2019","165,000","159,500","167,000","159,000","355.61K","5.77%"
"Aug 29, 2019","156,000","158,500","160,500","155,500","212.56K","-0.32%"
"Aug 28, 2019","156,500","157,000","157,500","155,000","162.86K","0.32%"
"Aug 27, 2019","156,000","158,500","160,500","156,000","252.07K","-1.89%"
