"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","42,500","42,150","42,650","41,800","790.41K","-0.12%"
"Oct 31, 2019","42,550","41,950","43,100","41,950","1.20M","0.59%"
"Oct 30, 2019","42,300","42,750","42,750","41,950","966.12K","-0.94%"
"Oct 29, 2019","42,700","41,500","42,750","41,250","1.32M","3.89%"
"Oct 28, 2019","41,100","41,700","42,150","40,850","879.23K","-1.32%"
"Oct 25, 2019","41,650","42,250","42,250","41,500","1.33M","0.60%"
"Oct 24, 2019","41,400","40,450","41,400","40,350","1.24M","2.10%"
"Oct 23, 2019","40,550","40,600","40,850","40,050","685.75K","-0.12%"
"Oct 22, 2019","40,600","40,300","40,900","39,500","1.10M","0.50%"
"Oct 21, 2019","40,400","40,950","40,950","40,100","636.61K","-0.49%"
"Oct 20, 2019","40,600","40,600","40,600","40,600","-","0.00%"
"Oct 18, 2019","40,600","41,250","41,450","40,550","778.37K","-0.12%"
"Oct 17, 2019","40,650","41,500","41,700","40,550","963.83K","-1.81%"
"Oct 16, 2019","41,400","40,950","41,550","40,700","1.07M","2.10%"
"Oct 15, 2019","40,550","40,750","41,200","40,400","1.16M","-0.61%"
"Oct 14, 2019","40,800","42,000","42,000","40,750","1.46M","-2.74%"
"Oct 11, 2019","41,950","42,600","42,800","41,900","716.61K","-0.83%"
"Oct 10, 2019","42,300","42,950","43,750","42,150","1.51M","-3.31%"
"Oct 09, 2019","43,750","43,750","43,750","43,750","-","0.00%"
"Oct 08, 2019","43,750","43,400","44,000","42,550","987.06K","2.10%"
"Oct 07, 2019","42,850","42,850","43,200","42,100","716.74K","0.23%"
"Oct 06, 2019","42,750","42,750","42,750","42,750","-","0.00%"
"Oct 04, 2019","42,750","43,650","44,000","42,750","1.12M","-3.50%"
"Oct 03, 2019","44,300","44,300","44,300","44,300","-","0.00%"
"Oct 02, 2019","44,300","44,650","45,200","44,200","783.31K","-1.66%"
"Oct 01, 2019","45,050","45,200","45,900","44,800","819.84K","-1.21%"
"Sep 30, 2019","45,600","45,700","45,950","45,150","777.35K","0.55%"
"Sep 29, 2019","45,350","45,350","45,350","45,350","-","0.00%"
"Sep 27, 2019","45,350","45,350","45,650","44,850","693.49K","1.00%"
"Sep 26, 2019","44,900","46,050","46,300","44,650","1.06M","-2.07%"
"Sep 25, 2019","45,850","45,700","46,300","45,600","871.46K","-0.43%"
"Sep 24, 2019","46,050","46,450","46,900","46,000","1.31M","-0.75%"
"Sep 23, 2019","46,400","44,300","46,700","44,250","2.94M","5.45%"
"Sep 20, 2019","44,000","43,750","44,100","43,550","1.24M","1.03%"
"Sep 19, 2019","43,550","43,550","44,050","43,300","837.14K","-0.68%"
"Sep 18, 2019","43,850","44,000","44,150","43,700","599.33K","-0.34%"
"Sep 17, 2019","44,000","43,700","44,150","43,450","845.80K","0.34%"
"Sep 16, 2019","43,850","44,250","44,350","43,150","1.06M","-0.57%"
"Sep 11, 2019","44,100","43,750","44,100","43,550","1.59M","2.08%"
"Sep 10, 2019","43,200","43,150","43,500","43,000","562.75K","0.23%"
"Sep 09, 2019","43,100","43,800","44,100","42,700","724.45K","-1.26%"
"Sep 08, 2019","43,650","43,650","43,650","43,650","-","0.00%"
"Sep 06, 2019","43,650","43,450","44,200","43,300","873.07K","0.34%"
"Sep 05, 2019","43,500","43,700","44,000","43,450","977.34K","-0.46%"
"Sep 04, 2019","43,700","43,900","44,050","43,300","899.94K","-0.57%"
