"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","213,500","211,500","214,000","211,000","157.11K","0.95%"
"Oct 31, 2019","211,500","211,000","214,000","211,000","165.87K","0.24%"
"Oct 30, 2019","211,000","214,000","214,000","210,000","200.71K","-0.47%"
"Oct 29, 2019","212,000","214,000","215,500","211,500","238.15K","0.24%"
"Oct 28, 2019","211,500","213,500","214,000","211,500","207.07K","-0.70%"
"Oct 25, 2019","213,000","221,000","222,000","210,500","620.12K","-4.48%"
"Oct 24, 2019","223,000","223,000","226,500","220,500","237.80K","0.22%"
"Oct 23, 2019","222,500","222,000","224,000","220,000","158.97K","-0.22%"
"Oct 22, 2019","223,000","221,000","226,500","221,000","182.97K","1.13%"
"Oct 21, 2019","220,500","224,500","225,000","220,500","155.76K","-1.78%"
"Oct 20, 2019","224,500","224,500","224,500","224,500","-","0.00%"
"Oct 18, 2019","224,500","223,500","227,000","223,000","224.69K","0.00%"
"Oct 17, 2019","224,500","225,500","226,000","221,000","239.57K","-1.10%"
"Oct 16, 2019","227,000","228,000","230,000","226,000","138.85K","0.22%"
"Oct 15, 2019","226,500","228,500","229,500","226,000","162.78K","-1.09%"
"Oct 14, 2019","229,000","228,500","232,500","228,000","230.22K","1.55%"
"Oct 11, 2019","225,500","228,000","228,000","224,000","203.99K","2.27%"
"Oct 10, 2019","220,500","218,000","223,500","216,500","396.75K","-0.45%"
"Oct 09, 2019","221,500","221,500","221,500","221,500","-","0.00%"
"Oct 08, 2019","221,500","219,000","222,500","218,500","199.13K","1.14%"
"Oct 07, 2019","219,000","219,000","220,500","217,000","103.11K","0.46%"
"Oct 04, 2019","218,000","219,000","222,000","218,000","157.34K","-0.91%"
"Oct 03, 2019","220,000","220,000","220,000","220,000","-","0.00%"
"Oct 02, 2019","220,000","224,500","224,500","220,000","189.63K","-2.87%"
"Oct 01, 2019","226,500","226,500","229,500","224,500","118.68K","-0.22%"
"Sep 30, 2019","227,000","225,000","227,000","224,000","156.81K","0.89%"
"Sep 29, 2019","225,000","225,000","225,000","225,000","-","0.00%"
"Sep 27, 2019","225,000","230,500","230,500","224,000","202.64K","-2.39%"
"Sep 26, 2019","230,500","231,500","233,000","229,000","169.31K","0.00%"
"Sep 25, 2019","230,500","229,000","233,000","229,000","126.46K","-0.86%"
"Sep 24, 2019","232,500","230,500","233,500","230,500","157.55K","0.65%"
"Sep 23, 2019","231,000","234,000","237,000","230,000","236.06K","-1.28%"
"Sep 20, 2019","234,000","231,500","235,500","230,000","250.54K","0.21%"
"Sep 19, 2019","233,500","237,500","238,000","232,000","244.91K","-1.89%"
"Sep 18, 2019","238,000","236,000","238,500","234,000","242.29K","0.00%"
"Sep 17, 2019","238,000","238,500","242,000","236,000","265.42K","0.00%"
"Sep 16, 2019","238,000","237,000","238,500","231,000","350.24K","0.85%"
"Sep 15, 2019","236,000","236,000","236,000","236,000","-","0.00%"
"Sep 11, 2019","236,000","225,500","236,000","225,000","638.33K","6.07%"
"Sep 10, 2019","222,500","218,500","224,000","218,000","317.45K","2.53%"
"Sep 09, 2019","217,000","216,000","219,000","215,500","175.37K","0.93%"
"Sep 08, 2019","215,000","215,000","215,000","215,000","-","0.00%"
