"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 01, 2019","42,650","42,400","43,000","42,400","577.83K","0.35%"
"Oct 31, 2019","42,500","42,800","43,150","42,500","994.91K","-1.51%"
"Oct 30, 2019","43,150","43,650","43,950","43,000","763.64K","-1.93%"
"Oct 29, 2019","44,000","43,200","44,100","43,200","842.27K","0.80%"
"Oct 28, 2019","43,650","43,550","43,900","43,400","695.29K","0.23%"
"Oct 25, 2019","43,550","43,500","43,800","43,050","528.69K","-0.68%"
"Oct 24, 2019","43,850","43,850","44,150","43,450","995.38K","0.69%"
"Oct 23, 2019","43,550","42,900","43,550","42,900","779.13K","0.35%"
"Oct 22, 2019","43,400","42,600","43,500","42,600","774.33K","1.28%"
"Oct 21, 2019","42,850","42,500","42,950","42,250","613.49K","1.78%"
"Oct 18, 2019","42,100","42,550","42,700","42,000","499.14K","-1.41%"
"Oct 17, 2019","42,700","42,250","42,850","42,250","573.33K","0.00%"
"Oct 16, 2019","42,700","43,550","43,600","42,450","1.10M","0.35%"
"Oct 15, 2019","42,550","42,800","43,150","42,350","712.57K","0.12%"
"Oct 14, 2019","42,500","41,800","42,600","41,750","701.07K","2.78%"
"Oct 11, 2019","41,350","41,400","42,050","41,200","634.37K","1.10%"
"Oct 10, 2019","40,900","40,400","41,400","40,250","1.21M","-1.21%"
"Oct 08, 2019","41,400","40,850","41,800","40,850","873.59K","0.73%"
"Oct 07, 2019","41,100","41,100","41,550","40,800","456.81K","0.37%"
"Oct 04, 2019","40,950","41,650","41,750","40,950","852.81K","-1.68%"
"Oct 02, 2019","41,650","42,000","42,100","41,350","641.61K","-1.65%"
"Oct 01, 2019","42,350","42,000","42,600","41,700","511.56K","1.32%"
"Sep 30, 2019","41,800","41,700","42,050","41,500","948.32K","-0.12%"
"Sep 29, 2019","41,850","41,850","41,850","41,850","-","0.00%"
"Sep 27, 2019","41,850","43,300","43,400","41,500","847.55K","-2.67%"
"Sep 26, 2019","43,000","43,050","43,400","42,700","596.08K","0.47%"
"Sep 25, 2019","42,800","42,650","43,250","42,500","607.78K","0.35%"
"Sep 24, 2019","42,650","42,800","43,250","42,500","629.11K","-0.47%"
"Sep 23, 2019","42,850","42,550","42,950","42,200","696.93K","0.00%"
"Sep 20, 2019","42,850","41,900","42,850","41,900","1.17M","1.42%"
"Sep 19, 2019","42,250","42,050","42,450","41,950","789.38K","0.12%"
"Sep 18, 2019","42,200","42,550","42,700","42,000","886.22K","-1.29%"
"Sep 17, 2019","42,750","42,400","42,750","42,150","1.05M","-0.70%"
"Sep 16, 2019","43,050","42,700","43,550","42,450","1.13M","1.89%"
"Sep 11, 2019","42,250","42,450","42,800","42,050","1.54M","0.12%"
"Sep 10, 2019","42,200","41,550","42,350","41,550","803.17K","1.69%"
"Sep 09, 2019","41,500","41,100","42,100","41,100","612.38K","0.12%"
"Sep 06, 2019","41,450","40,850","41,950","40,800","732.61K","1.34%"
"Sep 05, 2019","40,900","40,900","41,800","40,750","985.65K","-0.73%"
"Sep 04, 2019","41,200","40,750","41,200","40,750","976.51K","0.73%"
"Sep 03, 2019","40,900","40,650","41,050","40,550","620.46K","0.12%"
"Sep 02, 2019","40,850","41,600","41,600","40,550","607.64K","0.25%"
"Aug 30, 2019","40,750","40,100","40,800","40,100","897.05K","2.00%"
"Aug 29, 2019","39,950","39,850","40,050","39,600","523.06K","0.13%"
"Aug 28, 2019","39,900","39,900","40,050","39,800","596.55K","0.63%"
"Aug 27, 2019","39,650","39,750","40,000","39,550","1.43M","-0.13%"
"Aug 26, 2019","39,700","40,350","40,350","39,350","694.91K","-1.61%"
"Aug 25, 2019","40,350","40,350","40,350","40,350","-","0.00%"
"Aug 23, 2019","40,350","40,600","40,600","40,150","562.17K","-0.25%"
"Aug 22, 2019","40,450","40,500","40,700","40,300","1.02M","0.50%"
"Aug 21, 2019","40,250","40,300","40,700","40,100","1.03M","-0.62%"
"Aug 20, 2019","40,500","40,150","40,600","40,100","882.56K","-0.25%"
"Aug 19, 2019","40,600","40,600","40,750","40,000","840.61K","1.00%"
"Aug 16, 2019","40,200","40,900","40,900","39,900","928.91K","-0.62%"
"Aug 15, 2019","40,450","40,450","40,450","40,450","-","0.00%"
"Aug 14, 2019","40,450","40,400","41,100","40,300","938.05K","0.12%"
"Aug 13, 2019","40,400","40,700","40,950","40,250","889.14K","-1.58%"
"Aug 12, 2019","41,050","40,950","41,300","40,950","660.25K","0.00%"
